strategy,year,months,annual_return_gross_pct,annual_mdd_gross_pct,annual_turnover_pct,avg_monthly_turnover_pct,turnover_flag_100,turnover_flag_200
lambda_0.1,2012,9,2.119382683257953,-3.604004999999999,7.474199999999999,0.8304666666666665,False,False
lambda_0.1,2013,12,1.25579819592474,-5.917880430629873,18.68623222179224,1.5571860184826865,False,False
lambda_0.1,2014,12,-1.9132853657000792,-4.060569860273122,26.416856199047356,2.2014046832539464,False,False
lambda_0.1,2015,12,0.8695288132273937,-6.324998130337756,32.343327655218104,2.6952773046015084,False,False
lambda_0.1,2016,12,5.50501493464397,-0.8538962988630994,24.344683012091313,2.0287235843409426,False,False
lambda_0.1,2017,12,14.958651205923523,-1.279768152605143,24.70251953486783,2.058543294572319,False,False
lambda_0.1,2018,12,-4.9371789500244345,-6.5415290391658605,38.216334564559205,3.1846945470466,False,False
lambda_0.1,2019,12,6.777363712448103,-3.507809909293813,29.21159485157595,2.4342995709646624,False,False
lambda_0.1,2020,12,17.085543354822196,-6.972180225496583,32.88841276610795,2.7407010638423293,False,False
lambda_0.1,2021,12,2.4838370489213,-5.744869650643903,31.87510619303736,2.65625884941978,False,False
lambda_0.1,2022,12,-9.120261120392959,-8.922058835642643,39.850726463309236,3.320893871942436,False,False
lambda_0.1,2023,12,12.968624162229814,-5.823980871395729,28.740906826922775,2.395075568910231,False,False
lambda_0.1,2024,12,-1.6369317000962669,-5.9262315186633945,35.394221526871505,2.9495184605726257,False,False
lambda_0.1,2025,12,36.5270349585832,-2.384108206825708,34.130257495488614,2.8441881246240515,False,False
lambda_0.1,2026,6,56.29618868019719,-10.9106442775065,15.596961700948885,2.5994936168248146,False,False
lambda_0.3,2012,9,2.3219615910879066,-3.604004999999999,20.32259999999999,2.2580666666666653,False,False
lambda_0.3,2013,12,0.2618052456321962,-6.354962512487372,58.49554750776071,4.874628958980059,False,False
lambda_0.3,2014,12,-1.9193796283623388,-3.8257374410137324,84.7053964997303,7.058783041644191,False,False
lambda_0.3,2015,12,0.2397420539959505,-5.8517667187341305,96.82087468175433,8.068406223479528,False,False
