strategy_name,months,start_month,end_month,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,abs_MDD_pct,Sharpe,Calmar,WinRate_pct,avg_monthly_return_pct,median_monthly_return_pct,best_month_pct,worst_month_pct,avg_turnover_pct,max_turnover_pct,role
Fixed 70/20/10 BM,171,2012-04,2026-06,4.4162233576744985,11.054539101047611,16.579703182527812,-25.674223780608877,25.674223780608877,0.7096016818658241,0.4305695547219168,58.47953216374269,0.980415438596491,0.5702200000000001,24.48107,-14.13022,0.0,0.0,benchmark
EW Benchmark,171,2012-04,2026-06,2.4694437257892248,6.589613786291704,7.994388772117869,-13.571143569546962,13.571143569546962,0.8343349130182095,0.4855606863579648,60.81871345029239,0.5558331384015595,0.3254,11.7063,-6.984999999999999,0.0,0.0,benchmark
HSI baseline,171,2012-04,2026-06,2.908213386185535,7.827350035536762,13.704949804966509,-23.459418269768417,23.459418269768417,0.6129474755843836,0.3336549076165148,65.49707602339181,0.7000345321637426,0.21458,24.48107,-14.13022,22.01754385964912,70.0,baseline
Lambda 0.1,171,2012-04,2026-06,3.2567587956125186,8.692418845139871,11.351523784634692,-14.744180174515332,14.744180174515332,0.7865263175620656,0.5895491470027161,59.64912280701754,0.7440226834205772,0.4265883463900758,17.657112120639585,-10.9106442775065,2.455393807086774,6.018832608679937,candidate
Lambda 0.3,171,2012-04,2026-06,3.4553496577366705,9.147540799541854,12.10191122789447,-15.219711332556995,15.219711332556995,0.7793068521339414,0.601032476875829,60.81871345029239,0.7859251953179034,0.4070866347288078,17.99928272884474,-12.552501831151805,6.885562922592911,20.011915215340103,candidate
