Date,method,strategy,experiment,display_name,monthly_return,cumulative_return
2012-04-30,rank,EW,EW,EW,0.0015006768828879,1.0015006768828878
2012-05-31,rank,EW,EW,EW,-0.0226497180898505,0.978816968884696
2012-06-30,rank,EW,EW,EW,0.0029937000336713,0.981747253277404
2012-07-31,rank,EW,EW,EW,0.0129292188864265,0.9944404784061756
2012-08-31,rank,EW,EW,EW,0.0024376468962339,0.9968645731518518
2012-09-30,rank,EW,EW,EW,0.0175888476427146,1.0143982722494396
2012-10-31,rank,EW,EW,EW,-0.0135751388186701,1.0006276748862344
2012-11-30,rank,EW,EW,EW,0.0069600217702254,1.0075920652873327
2012-12-31,rank,EW,EW,EW,0.0151105969561896,1.0228173828821443
2013-01-31,rank,EW,EW,EW,-0.0051054565707537,1.0175954331540276
2013-02-28,rank,EW,EW,EW,0.0159837398546007,1.033860413834791
2013-03-31,rank,EW,EW,EW,-0.0034046900530706,1.0303404395675446
2013-04-30,rank,EW,EW,EW,-0.008376797057387,1.0217094868052683
2013-05-31,rank,EW,EW,EW,0.0058422876396569,1.0276786075113509
2013-06-30,rank,EW,EW,EW,-0.0253800016945285,1.0015961227112822
2013-07-31,rank,EW,EW,EW,0.0101025843697385,1.0117148320453755
2013-08-31,rank,EW,EW,EW,0.0059530396055012,1.0177376105100149
2013-09-30,rank,EW,EW,EW,0.0156364090307469,1.0336513720739249
2013-10-31,rank,EW,EW,EW,0.0096367395281661,1.043612401109533
2013-11-30,rank,EW,EW,EW,0.0023225552066738,1.046036248525479
2013-12-31,rank,EW,EW,EW,-0.0007731302831468,1.0452275262244746
2014-01-31,rank,EW,EW,EW,-0.0126540914854339,1.0320011214845362
2014-02-28,rank,EW,EW,EW,0.0078089783081393,1.0400599958561842
2014-03-31,rank,EW,EW,EW,0.0015961368006335,1.041720073890437
2014-04-30,rank,EW,EW,EW,-0.0017131378380782,1.0399354638151697
2014-05-31,rank,EW,EW,EW,0.008550089929545,1.0488270055517124
2014-06-30,rank,EW,EW,EW,0.0028531464179251,1.0518194625656254
2014-07-31,rank,EW,EW,EW,0.0159668488985898,1.068613704993007
2014-08-31,rank,EW,EW,EW,-0.0047117386894943,1.0635786764550674
2014-09-30,rank,EW,EW,EW,-0.0073467504311571,1.0557648293552515
2014-10-31,rank,EW,EW,EW,-0.0050750817641505,1.0504067365225591
2014-11-30,rank,EW,EW,EW,0.0057837227968951,1.0564819979105968
2014-12-31,rank,EW,EW,EW,-0.00730604531491,1.0487632925594752
2015-01-31,rank,EW,EW,EW,0.0122290003002188,1.0615886191790438
2015-02-28,rank,EW,EW,EW,0.0011007385482829,1.0627571506945923
2015-03-31,rank,EW,EW,EW,0.0110634505611363,1.074514911889796
2015-04-30,rank,EW,EW,EW,0.0128259930759256,1.0882966327096737
2015-05-31,rank,EW,EW,EW,-0.0057117511855084,1.0820805531276094
2015-06-30,rank,EW,EW,EW,-0.0109958853693476,1.0701821194050178
2015-07-31,rank,EW,EW,EW,-0.009907601939748,1.059579180962917
2015-08-31,rank,EW,EW,EW,-0.014367104732265,1.0443560958978952
2015-09-30,rank,EW,EW,EW,0.009506901306588,1.0542846862305302
2015-10-31,rank,EW,EW,EW,0.0203075334124474,1.0756946077223883
2015-11-30,rank,EW,EW,EW,-0.0086408940506986,1.0663996445861514
2015-12-31,rank,EW,EW,EW,0.0003973234484021,1.0668233501703133
2016-01-31,rank,EW,EW,EW,-0.0096564319243719,1.0565216431140632
2016-02-29,rank,EW,EW,EW,0.0079819359802726,1.064954731231172
2016-03-31,rank,EW,EW,EW,0.0150125063510881,1.0809423708974013
2016-04-30,rank,EW,EW,EW,-0.0001168782096144,1.0808160322883944
2016-05-31,rank,EW,EW,EW,-0.0016575668434742,1.0790245074693776
2016-06-30,rank,EW,EW,EW,0.0045665223442735,1.0839518969927553
2016-07-31,rank,EW,EW,EW,0.0109492244392356,1.0958203295942643
2016-08-31,rank,EW,EW,EW,0.0059072074060047,1.102293567560894
2016-09-30,rank,EW,EW,EW,0.0022528674731137,1.1047768888850744
2016-10-31,rank,EW,EW,EW,-0.0031884063998721,1.1012544111821223
2016-11-30,rank,EW,EW,EW,-0.0040942667449826,1.096745581868654
2016-12-31,rank,EW,EW,EW,0.0140639805713601,1.11217019042378
2017-01-31,rank,EW,EW,EW,0.0118724062356556,1.1253743267276777
2017-02-28,rank,EW,EW,EW,0.002396196380012,1.128070944615541
2017-03-31,rank,EW,EW,EW,0.0155926511412925,1.1456605613175594
2017-04-30,rank,EW,EW,EW,0.0085391607163733,1.1554435409770607
2017-05-31,rank,EW,EW,EW,0.0224540153690988,1.1813878880042856
2017-06-30,rank,EW,EW,EW,0.0082531076904995,1.191138009468237
2017-07-31,rank,EW,EW,EW,0.0032537876304274,1.1950137195895765
2017-08-31,rank,EW,EW,EW,-0.0063331708368011,1.1874454935510943
2017-09-30,rank,EW,EW,EW,0.0091203562482641,1.198275419477676
2017-10-31,rank,EW,EW,EW,0.0158208208223527,1.217233120185062
2017-11-30,rank,EW,EW,EW,-0.0068304302828809,1.208918894219624
2017-12-31,rank,EW,EW,EW,0.0031843140637014,1.2127684716563625
2018-01-31,rank,EW,EW,EW,0.0086686707828755,1.2232815622730024
2018-02-28,rank,EW,EW,EW,-0.0182275999083302,1.200984075380653
2018-03-31,rank,EW,EW,EW,0.0044458581586759,1.206323480230624
2018-04-30,rank,EW,EW,EW,0.009523105192286,1.2178114256287846
2018-05-31,rank,EW,EW,EW,-0.0112377208070921,1.2041260008318817
2018-06-30,rank,EW,EW,EW,-0.0095073043346607,1.1926780084846949
2018-07-31,rank,EW,EW,EW,-0.0007704603413472,1.1917590973791603
2018-08-31,rank,EW,EW,EW,0.0045705422064022,1.1972060826335955
2018-09-30,rank,EW,EW,EW,0.0019349264164053,1.1995225883087648
2018-10-31,rank,EW,EW,EW,-0.0386477745764456,1.153163709716453
2018-11-30,rank,EW,EW,EW,0.0113084648810852,1.1662042210299235
2018-12-31,rank,EW,EW,EW,-0.0056335394937965,1.1596343634929194
2019-01-31,rank,EW,EW,EW,0.0318842149914595,1.196608394850012
