,value
069500_direction,-0.0007936507936508264
069500_intensity,0.5198412698412698
069500_signal,watch
114260_direction,-0.43333333333333335
114260_intensity,0.5793650793650794
114260_signal,buy
153130_direction,-0.1126984126984127
153130_intensity,0.36666666666666664
153130_signal,watch
