strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,split
up0.10_down0.10,45,0.6096265000765655,5.897893674392024,-6.324998130337733,0.13205636622558314,0.10336342662864433,0.2058566565612309,0.09638366486663506,57.77777777777777,1.8871248016901705,5.934719427820001,2012-2015
up0.10_down0.10,48,5.335840219667309,5.713744134803815,-6.5415290391658605,0.9397168734045469,0.9338605463911831,1.4081568369249589,0.8156870034085648,62.5,2.4265652492311314,6.018832608679937,2016-2019
up0.10_down0.10,36,2.9299846070439894,9.695810182514956,-14.744180174515332,0.344894203698842,0.3021907970442541,0.633687142724363,0.1987214326170769,58.333333333333336,2.9059512617348484,5.068614515762783,2020-2022
up0.10_down0.10,42,27.976597099061394,18.528042120609893,-10.9106442775065,1.431002815593056,1.5099597095551338,3.0236176206527383,2.564156285136914,59.523809523809526,2.711008275005518,5.358646829370604,2023-2026
up0.30_down0.30,45,0.22914042545685298,5.940559810758284,-6.354962512487372,0.06773767938350289,0.038572193994559634,0.10394993307565971,0.03605692795301258,60.0,5.785431526427673,18.591122655420005,2012-2015
up0.30_down0.30,48,5.4153399064557295,6.09269233905522,-6.985548875815839,0.8973436350315299,0.888825433009715,1.2086795998445223,0.7752203875065257,64.58333333333334,6.793016622863528,18.93388874932591,2016-2019
up0.30_down0.30,36,3.4599077078485863,10.542818436589927,-15.219711332556985,0.3736912596152352,0.3281767326885402,0.5884979482003314,0.22733070504743305,58.333333333333336,8.07504283774655,17.819485684369198,2020-2022
up0.30_down0.30,42,30.002671204145837,19.754086908376696,-12.552501831151808,1.4347262891993606,1.518808302469462,2.7724307548959213,2.3901746128160344,59.523809523809526,7.150488119471843,20.011915215340103,2023-2026
up0.10_down0.30,45,0.666123375805161,5.173108700408538,-5.678424505701618,0.15382406984166708,0.128766553030783,0.2107399336315511,0.11730778055362308,60.0,3.575934815847856,16.959821575455,2012-2015
up0.10_down0.30,48,5.107745301161182,4.135301270267995,-2.60921864667919,1.2272829055771748,1.2351567557809802,2.1032626743931364,1.9575765747580878,66.66666666666666,4.15319767852017,16.700808313536662,2016-2019
up0.10_down0.30,36,3.1530626967747333,6.618261231649425,-8.97574764098037,0.501353363643522,0.4764185918948558,1.0406523546948132,0.3512869147945811,58.333333333333336,4.927555987747966,13.433305554766466,2020-2022
up0.10_down0.30,42,19.59083512403337,13.086151824108308,-8.572452000278485,1.4392879386704085,1.4970661648554036,2.566056212235061,2.285324563310117,64.28571428571429,4.802036073492015,13.429950503411813,2023-2026
up0.10_down0.50,45,0.6540338050021743,4.816301657798693,-5.495289098772426,0.1590969338484033,0.13579585571496422,0.19590382536778334,0.11901717875921698,60.0,4.610084975375434,27.993450871875,2012-2015
up0.10_down0.50,48,4.784931123721736,3.615872445120416,-2.3072672171292052,1.3127333530758234,1.3233130306294276,2.1872842843689013,2.073852169440235,68.75,4.821469107365902,26.6854716491846,2016-2019
up0.10_down0.50,36,3.11968881338589,5.52139294889346,-7.042019643955378,0.5834968817409159,0.5650184368803357,1.2265387519755058,0.44301052412765163,58.333333333333336,5.8041722438909975,21.967066400507985,2020-2022
up0.10_down0.50,42,15.340902922029564,10.191998790426723,-7.150243006851198,1.4574216551592107,1.5051908107013487,2.3546532889262926,2.145507908938237,66.66666666666666,5.935886493852212,21.519558613832725,2023-2026
up0.20_down0.30,45,0.3793017567512491,5.638987002524258,-6.104324419558116,0.09487754145922035,0.06726416581230936,0.13996085712794953,0.06213656592955233,60.0,4.903062441499409,17.917711134719998,2012-2015
up0.20_down0.30,48,5.4574442477219876,5.380720544374037,-5.230622942053831,1.0160156776710267,1.0142590016922866,1.4834988909450924,1.0433641094341803,64.58333333333334,5.753813262323578,18.431861136528806,2016-2019
up0.20_down0.30,36,3.5797179829518244,9.121944547191557,-12.62036505338534,0.4297783706523993,0.3924292637860794,0.7485193812620702,0.28364615189887754,58.333333333333336,6.8648067608102545,16.301233107245906,2020-2022
up0.20_down0.30,42,26.544877048763603,17.646942101571714,-11.353628941331117,1.4297685647295724,1.5042196487061292,2.66806127173888,2.338008154567313,61.904761904761905,6.373063571391755,18.212872255890154,2023-2026
up0.20_down0.50,45,0.4068932523100699,5.271588318023141,-5.860718273439424,0.10297081461896676,0.07718608278247645,0.13859919182345834,0.06942719873673099,60.0,6.746549046586929,28.3806848,2012-2015
up0.20_down0.50,48,5.068295476557738,4.876784507150022,-4.426544758321094,1.039685206783358,1.0392699265524108,1.448124070004924,1.1449777994518797,64.58333333333334,7.174078817767807,28.988288217049963,2016-2019
up0.20_down0.50,36,3.8017458991879582,8.151669804954768,-10.746844555999536,0.4972978560560136,0.46637633640130666,0.8653275481928326,0.3537546187979052,58.333333333333336,8.336801227528287,25.697350791656103,2020-2022
up0.20_down0.50,42,21.754152577438223,14.596845541474446,-10.088212810179819,1.4286318463634107,1.4903324499548558,2.3661095071426392,2.156393108151578,66.66666666666666,8.244038998000347,30.026044342564706,2023-2026
up0.30_down0.10,45,0.29101295621485335,6.633825835224549,-7.665393881885485,0.07640393482786484,0.0438680428825281,0.1258479677855578,0.037964514374474886,57.77777777777777,2.771222545372005,7.193443398147696,2012-2015
