date,year,strategy,buy_turnover,sell_turnover,oneway_turnover_from_weights,double_sided_turnover,turnover_from_backtest,turnover_diff
2012-04-30,2012,lambda_0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,2012,lambda_0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-30,2012,lambda_0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-31,2012,lambda_0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-31,2012,lambda_0.1,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.020000000000000018,0.0
2012-09-30,2012,lambda_0.1,0.018000000000000127,0.017999999999999933,0.01800000000000003,0.03600000000000006,0.01800000000000003,0.0
2012-10-31,2012,lambda_0.1,0.01619999999999988,0.016200000000000075,0.01619999999999998,0.03239999999999996,0.01619999999999998,0.0
2012-11-30,2012,lambda_0.1,0.00541999999999998,0.00541999999999998,0.00541999999999998,0.01083999999999996,0.00541999999999998,0.0
2012-12-31,2012,lambda_0.1,0.015121999999999969,0.015121999999999997,0.015121999999999983,0.030243999999999965,0.015121999999999983,0.0
2013-01-31,2013,lambda_0.1,0.013609800000000005,0.013609800000000005,0.013609800000000005,0.02721960000000001,0.013609800000000005,0.0
2013-02-28,2013,lambda_0.1,0.012248820000000049,0.012248819999999994,0.012248820000000021,0.024497640000000043,0.012248820000000021,0.0
2013-03-31,2013,lambda_0.1,0.011023938000000011,0.011023937999999983,0.011023937999999997,0.022047875999999994,0.011023937999999997,0.0
2013-04-30,2013,lambda_0.1,0.010078455799999997,0.010078455799999997,0.010078455799999997,0.020156911599999994,0.010078455799999997,0.0
2013-05-31,2013,lambda_0.1,0.009070610219999997,0.009070610219999997,0.009070610219999997,0.018141220439999994,0.009070610219999997,0.0
2013-06-30,2013,lambda_0.1,0.01183645080200002,0.011836450801999993,0.011836450802000006,0.023672901604000013,0.011836450802000006,0.0
2013-07-31,2013,lambda_0.1,0.05934719427820001,0.05934719427820001,0.05934719427820001,0.11869438855640002,0.05934719427820001,0.0
2013-08-31,2013,lambda_0.1,0.006809356137784994,0.006809356137784994,0.006809356137784994,0.013618712275569989,0.006809356137784994,0.0
2013-09-30,2013,lambda_0.1,0.006128420524006473,0.006128420524006528,0.0061284205240065,0.012256841048013,0.0061284205240065,0.0
2013-10-31,2013,lambda_0.1,0.01723589537119219,0.01723589537119219,0.01723589537119219,0.03447179074238438,0.01723589537119219,0.0
2013-11-30,2013,lambda_0.1,0.015512305834072926,0.015512305834072981,0.015512305834072954,0.031024611668145907,0.015512305834072954,0.0
2013-12-31,2013,lambda_0.1,0.0139610752506657,0.013961075250665672,0.013961075250665686,0.027922150501331372,0.013961075250665686,0.0
2014-01-31,2014,lambda_0.1,0.012564967725599119,0.012564967725599091,0.012564967725599105,0.02512993545119821,0.012564967725599105,0.0
2014-02-28,2014,lambda_0.1,0.0386915290469608,0.038691529046960826,0.03869152904696081,0.07738305809392163,0.03869152904696081,0.0
2014-03-31,2014,lambda_0.1,0.015177623857735245,0.015177623857735273,0.015177623857735259,0.030355247715470518,0.015177623857735259,0.0
2014-04-30,2014,lambda_0.1,0.007709589538528738,0.007709589538528572,0.007709589538528655,0.01541917907705731,0.007709589538528655,0.0
2014-05-31,2014,lambda_0.1,0.01429387532476556,0.014293875324765615,0.014293875324765587,0.028587750649531174,0.014293875324765587,0.0
2014-06-30,2014,lambda_0.1,0.012864487792288992,0.012864487792289048,0.01286448779228902,0.02572897558457804,0.01286448779228902,0.0
2014-07-31,2014,lambda_0.1,0.008470290773587408,0.008470290773587463,0.008470290773587436,0.01694058154717487,0.008470290773587436,0.0
2014-08-31,2014,lambda_0.1,0.012420235111754163,0.012420235111754024,0.012420235111754094,0.024840470223508188,0.012420235111754094,0.0
2014-09-30,2014,lambda_0.1,0.008821788399421271,0.008821788399421271,0.008821788399421271,0.017643576798842542,0.008821788399421271,0.0
2014-10-31,2014,lambda_0.1,0.05793960955947916,0.05793960955947919,0.057939609559479174,0.11587921911895835,0.057939609559479174,0.0
