period,strategy_name,months,start_month,end_month,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,abs_MDD_pct,Sharpe,Calmar,WinRate_pct,avg_monthly_return_pct,median_monthly_return_pct,best_month_pct,worst_month_pct,avg_turnover_pct,max_turnover_pct
2012-2015,EW Benchmark,45,2012-04,2015-12,1.0668241572851893,1.7788163181158057,3.734775983153032,-4.0375505229724435,4.0375505229724435,0.4804833772821895,0.44056818806226145,60.0,0.14954148148148153,0.23226666666666665,2.0307666666666666,-2.5379666666666667,0.0,0.0
2012-2015,HSI baseline,45,2012-04,2015-12,1.0103811133053722,0.28190075533909287,6.21665717076588,-6.8349635296085065,6.8349635296085065,0.0748998463123072,0.04124392970319764,64.44444444444444,0.03880222222222224,0.18406,3.4977899999999997,-5.30037,20.88888888888889,70.0
2012-2015,Lambda 0.1,45,2012-04,2015-12,1.0230533051742012,0.6231746815544614,5.897893674392024,-6.324998130337733,6.324998130337733,0.13205636622558314,0.09852567047655175,57.77777777777777,0.06490453391875528,0.1991575,2.7262974000000004,-4.516784232722989,1.8871248016901705,5.934719427820001
2012-2015,Lambda 0.3,45,2012-04,2015-12,1.0086198752205966,0.23422293804469252,5.940559810758284,-6.354962512487372,6.354962512487372,0.06773767938350289,0.036856698616939,60.0,0.0335333113183056,0.1820425,3.0310846,-4.709739371280217,5.785431526427673,18.591122655420005
2016-2019,EW Benchmark,48,2016-01,2019-12,1.1560956783862342,3.7743075781901725,4.37633478539917,-5.732065933910602,5.732065933910602,0.8513155070075031,0.6584550180872077,62.5,0.3104701388888889,0.3219166666666667,3.1883999999999997,-3.8648000000000002,0.0,0.0
2016-2019,HSI baseline,48,2016-01,2019-12,1.1221185840994967,2.986637286345406,6.640613089537734,-14.339727528960688,14.339727528960688,0.46703556707531263,0.20827712941641024,64.58333333333334,0.25845020833333326,0.20266,4.53585,-5.9051350000000005,23.854166666666664,70.0
2016-2019,Lambda 0.1,48,2016-01,2019-12,1.2311321002846214,5.454611759160977,5.713744134803815,-6.5415290391658605,6.5415290391658605,0.9397168734045469,0.8338435443002357,62.5,0.44744181448261755,0.4273873036921399,3.8677646918664377,-4.117658481862578,2.4265652492311314,6.018832608679937
2016-2019,Lambda 0.3,48,2016-01,2019-12,1.2348529791302756,5.535927113972661,6.09269233905522,-6.985548875815839,6.985548875815839,0.8973436350315299,0.7924827686967006,64.58333333333334,0.4556032242213805,0.3768538658284272,4.375176732002799,-4.536125293776916,6.793016622863528,18.93388874932591
2020-2022,EW Benchmark,36,2020-01,2022-12,1.041791067991057,1.4140214920765892,7.90182212758484,-13.571143569546951,13.571143569546951,0.21124101023001252,0.10419324538350558,58.333333333333336,0.13909907407407404,0.3320333333333333,4.9916333333333345,-4.7185999999999995,0.0,0.0
2020-2022,HSI baseline,36,2020-01,2022-12,1.0432700655102307,1.4633755649380742,12.496114680126855,-23.459418269768406,23.459418269768406,0.1741746712782706,0.06237902185425848,63.888888888888886,0.18137555555555557,0.18684499999999998,9.729499999999998,-9.26726,21.666666666666668,70.0
2020-2022,Lambda 0.1,36,2020-01,2022-12,1.0905001345111354,3.0158459721385755,9.695810182514956,-14.744180174515332,14.744180174515332,0.344894203698842,0.20454483982441649,58.333333333333336,0.27866906100946826,0.4355455658118043,7.502141772856799,-4.881407382670741,2.9059512617348484,5.068614515762783
2020-2022,Lambda 0.3,36,2020-01,2022-12,1.1074299380609407,3.5615649704212826,10.542818436589927,-15.219711332556985,15.219711332556985,0.3736912596152352,0.23401002112324049,58.333333333333336,0.32831325845533454,0.364436302522905,8.7456411522748,-6.379815898336575,8.07504283774655,17.819485684369198
2023-2026,EW Benchmark,42,2023-01,2026-06,1.9219048605614555,21.1079378176106,12.480675714298252,-6.984999999999997,6.984999999999997,1.5660316621272208,3.0218951778970093,61.904761904761905,1.628761111111111,0.8356333333333332,11.7063,-6.984999999999999,0.0,0.0
2023-2026,HSI baseline,42,2023-01,2026-06,2.4587000394171086,30.175921084099055,22.546620152675654,-14.130219999999994,14.130219999999994,1.2548561200804513,2.1355591833742906,69.04761904761905,2.3577303571428567,0.653945,24.48107,-14.13022,21.428571428571423,70.0
2023-2026,Lambda 0.1,42,2023-01,2026-06,2.371138669849366,28.799491081988627,18.528042120609893,-10.9106442775065,10.9106442775065,1.431002815593056,2.6395774941872103,59.523809523809526,2.209473370168291,0.9708745709347197,17.657112120639585,-10.9106442775065,2.711008275005518,5.358646829370604
2023-2026,Lambda 0.3,42,2023-01,2026-06,2.505145563254163,30.892003294714108,19.754086908376696,-12.552501831151808,12.552501831151808,1.4347262891993606,2.461023603920039,59.523809523809526,2.361808983881414,0.9115738638786952,17.99928272884474,-12.552501831151805,7.150488119471843,20.011915215340103
