Date,cum_exposure_effect,cum_pure_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2014-05-31,-0.0008484752165152159,0.0008484752165152159,0.0,-0.0,0.0
2014-06-30,-0.000621488996582404,0.000621488996582404,0.0,-0.0,0.0
2014-07-31,-0.0024143180009335227,0.0024143180009335227,0.0,-0.0,0.0
2014-08-31,-0.0012733104896173984,0.0012733104896173984,0.0,-0.0,0.0
2014-09-30,0.0007578577023279634,-0.0007578577023279634,0.0,-0.0,0.0
2014-10-31,0.0023733715431957106,0.00014655389234586008,-0.0017639478048790999,-2.4999999999999994e-05,0.0007309776306624709
2014-11-30,0.0018206942632291246,-0.0001628509096867158,-0.0013415275846995105,-4.249999999999998e-05,0.00027381576884289924
2014-12-31,0.0031797953785725292,-0.0015219520250301204,-0.0005846999315592443,-5.5249999999999994e-05,0.001017893421983166
2015-01-31,0.0019375151833148268,-0.0033800634281933506,0.0011013317745570397,-8.632500000000001e-05,-0.00042754147032148145
2015-02-28,0.0018316725481256082,-0.003274220793004132,0.0010169790616382875,-0.00010457249999999998,-0.000530141683240234
2015-03-31,0.0011173013480691328,-0.0025598495929476566,0.0006184496405440129,-0.00011734574999999997,-0.0009414443543345084
2015-04-30,-0.0010892600104715601,-0.00035328823440696367,-0.00024323926087179196,-0.00012628702499999995,-0.001812074530750313
2015-05-31,0.0002636278000728669,0.0004040976766243174,-0.0013506075276451036,-0.00014502813249999994,-0.000827910183447916
2015-06-30,0.002134256348339628,0.0032020463599293013,-0.003647914321102183,-0.00017314690774999992,0.0015152414794167499
2015-07-31,0.004031654797613291,0.006040035493458284,-0.0052790422358424205,-0.00019283005042499993,0.0045998180048041565
2015-08-31,0.006655793972436811,0.014876880236026374,-0.010296454682553201,-0.00023660825029749993,0.010999611275612484
2015-09-30,0.005757121253946501,0.011850580654101737,-0.00909365712952206,-0.0002672529902082499,0.008246791788317932
2015-10-31,0.0025181760037625506,0.007006004425194122,-0.010302967593246035,-0.0002758016722707249,-0.0010545888365600872
2015-11-30,0.0036915399479147733,0.0076628876588861776,-0.009227598234656433,-0.00029678574971445744,0.0018300436224300606
2015-12-31,0.004203763223640206,0.008429033584116525,-0.009234559020554228,-0.0002970968955038447,0.003101140891698658
2016-01-31,0.006136822775594968,0.0064959740321617635,-0.005875875789344258,-0.0003368790934512736,0.006420041924961198
2016-02-29,0.005385440951884966,0.006075328652221549,-0.005969322783810643,-0.00033972663201447384,0.005151720188281397
2016-03-31,0.003157207233611988,0.008303562370494528,-0.008596270272036443,-0.000366719909008714,0.0024977794230613597
2016-04-30,0.003327858809157901,0.008399098081590744,-0.00864177013633668,-0.0003728246151127459,0.00271236213929922
2016-05-31,0.003692140601702375,0.00803481628904627,-0.00831200648380734,-0.0003935513208399236,0.0030213990861013822
2016-06-30,0.003723303758576486,0.008052262329860409,-0.008326285754881192,-0.00040404262683089916,0.0030452377067248064
2016-07-31,0.0022234542685076932,0.009552111819929203,-0.009482869672046415,-0.00042169871263721625,0.001870997703753265
2016-08-31,0.001186819125069394,0.010588746963367502,-0.010042438402085992,-0.0004340579727016382,0.0012990697136492655
2016-09-30,0.0011222731722687071,0.010552612263295322,-0.009996350977172292,-0.00045040649065654283,0.0012281279677351944
2016-10-31,0.0012945769726448945,0.010380308462919135,-0.009894336301258369,-0.0004639625280881096,0.0013165866062175516
2016-11-30,0.0013350729188777977,0.010339812516686232,-0.009877553000047192,-0.0004734517542902063,0.001323880681226631
2016-12-31,-0.0004287577691346233,0.012103643204698653,-0.010389259309773191,-0.000480094212631674,0.0008055319131591637
2017-01-31,-0.0022486952795807602,0.011084789299277953,-0.008771693771578633,-0.0005004444917926466,-0.000436044243674087
2017-02-28,-0.0024383574990366297,0.010978610877274881,-0.00865369315461796,-0.0005146896872053274,-0.0006281294635850361
2017-03-31,-0.004635172710911234,0.013175426089149485,-0.010095610108627856,-0.0005297180504164508,-0.002085074780806056
2017-04-30,-0.005859996375853346,0.014400249754091597,-0.010658363770849567,-0.0005402379046642372,-0.0026583482972755523
2017-05-31,-0.009192757301618594,0.017733010679856845,-0.011730245731475072,-0.0005476018026376877,-0.003737594155874504
2017-06-30,-0.010472944544104475,0.019013197922342726,-0.012018459242556703,-0.000552756531219103,-0.004030962395537551
2017-07-31,-0.010804469280122244,0.019344722658360496,-0.012070705455848742,-0.0005563648412260937,-0.004086816918836581
2017-08-31,-0.009655129153096262,0.018195382531334514,-0.01194391531312788,-0.0005588906582309872,-0.003962552593120613
2017-09-30,-0.011238703433512345,0.017308851630759698,-0.01033712674636669,-0.0005821225863275618,-0.0048491011354468965
2017-10-31,-0.014287217186946342,0.020357365384193693,-0.011500496739941652,-0.0005908602366599597,-0.00602120877935426
2017-11-30,-0.012819050610905002,0.021179287698131367,-0.012711363042292345,-0.0006097438814272811,-0.004960869836493262
