,value
069500_direction,0.028988278812109164
069500_intensity,0.3951642375300021
069500_signal,watch
114260_direction,-0.32802788760596063
114260_intensity,0.3638796067830621
114260_signal,buy
153130_direction,-0.03095454940783718
153130_intensity,0.20010858996088252
153130_signal,watch
