Date,069500_direction,069500_intensity,069500_signal,114260_direction,114260_intensity,114260_signal,153130_direction,153130_intensity,153130_signal
2018-12-10,0.41984126984126974,0.41984126984126974,caution,-0.4873015873015873,0.5095238095238096,buy,0.1952380952380952,0.23650793650793647,watch
2018-12-11,0.3976190476190476,0.3976190476190476,caution,-0.5253968253968253,0.5603174603174602,buy,0.20634920634920637,0.28571428571428575,watch
2018-12-12,0.26269841269841265,0.3642857142857142,watch,-0.3222222222222222,0.4682539682539683,buy,0.2904761904761905,0.2904761904761905,watch
2018-12-13,0.23888888888888893,0.28650793650793654,watch,-0.28253968253968254,0.4761904761904762,watch,0.16825396825396818,0.30158730158730157,watch
2018-12-14,0.4214285714285714,0.4214285714285714,caution,-0.48888888888888893,0.49523809523809526,buy,0.05873015873015874,0.12222222222222222,watch
2018-12-17,0.3976190476190476,0.3976190476190476,caution,-0.4031746031746032,0.40634920634920635,buy,0.1476190476190476,0.18888888888888886,watch
2018-12-18,0.376984126984127,0.376984126984127,caution,-0.4857142857142857,0.5333333333333333,buy,-0.11904761904761908,0.19841269841269843,watch
2018-12-19,0.2753968253968254,0.34523809523809523,watch,-0.47936507936507944,0.5523809523809525,buy,-0.2619047619047619,0.28095238095238095,watch
2018-12-20,0.3515873015873015,0.3515873015873015,caution,-0.48412698412698413,0.5349206349206349,buy,-0.30634920634920637,0.30634920634920637,buy
2018-12-21,0.3277777777777777,0.36269841269841263,caution,-0.24126984126984127,0.32698412698412693,watch,-0.3492063492063492,0.35238095238095235,buy
2018-12-24,0.34365079365079365,0.34365079365079365,caution,-0.012698412698412707,0.24444444444444444,watch,-0.28888888888888886,0.3301587301587302,watch
2018-12-26,0.515079365079365,0.515079365079365,caution,-0.3111111111111111,0.5142857142857143,buy,-0.2698412698412699,0.2698412698412699,watch
2018-12-27,0.43730158730158736,0.43730158730158736,caution,-0.3285714285714285,0.48412698412698413,buy,-0.47777777777777786,0.6365079365079366,buy
2018-12-28,0.4039682539682539,0.4039682539682539,caution,-0.24603174603174602,0.30317460317460315,watch,-0.3841269841269841,0.5015873015873016,buy
2019-01-02,0.47539682539682543,0.47539682539682543,caution,-0.3984126984126985,0.4936507936507937,buy,-0.5730158730158731,0.5730158730158731,buy
2019-01-03,0.5325396825396825,0.5325396825396825,caution,-0.5015873015873016,0.5650793650793652,buy,-0.5793650793650793,0.8301587301587301,buy
2019-01-04,0.43412698412698403,0.43412698412698403,caution,-0.3698412698412698,0.48412698412698413,buy,-0.6396825396825396,0.8365079365079364,buy
2019-01-07,0.2515873015873015,0.2515873015873015,watch,-0.2952380952380953,0.39682539682539686,watch,-0.5555555555555555,0.7523809523809524,buy
2019-01-09,-0.026190476190476222,0.28492063492063496,watch,-0.1523809523809524,0.28253968253968254,watch,-0.48253968253968255,0.6984126984126984,buy
2019-01-10,-0.043650793650793634,0.2293650793650794,watch,-0.21111111111111108,0.47460317460317464,watch,-0.39682539682539686,0.7936507936507937,buy
2019-01-11,-0.18015873015873018,0.30873015873015874,watch,-0.1571428571428571,0.42698412698412697,watch,-0.3206349206349206,0.8126984126984128,buy
2019-01-14,-0.1119047619047619,0.24047619047619043,watch,-0.10476190476190482,0.4380952380952381,watch,-0.30634920634920637,0.8047619047619048,buy
2019-01-15,-0.2912698412698412,0.46428571428571425,watch,-0.1238095238095238,0.5396825396825398,watch,-0.23650793650793653,0.8777777777777778,watch
2019-01-16,-0.30079365079365084,0.4706349206349207,buy,-0.0968253968253968,0.4619047619047619,watch,-0.23650793650793653,0.8238095238095238,watch
2019-01-17,-0.3944444444444445,0.48492063492063503,buy,-0.10793650793650791,0.4444444444444445,watch,-0.2523809523809523,0.7952380952380952,watch
2019-01-18,-0.44523809523809527,0.5515873015873016,buy,0.028571428571428577,0.4444444444444444,watch,-0.2428571428571429,0.8587301587301588,watch
2019-01-21,-0.4563492063492064,0.5404761904761904,buy,0.06984126984126987,0.47301587301587306,watch,-0.2222222222222222,0.819047619047619,watch
2019-01-22,-0.39920634920634923,0.5023809523809524,buy,0.1,0.5031746031746032,watch,-0.14285714285714282,0.7746031746031747,watch
2019-01-23,-0.47063492063492063,0.5261904761904762,buy,0.10158730158730159,0.5047619047619047,watch,0.08730158730158731,0.5793650793650794,watch
2019-01-24,-0.5261904761904762,0.5817460317460318,buy,0.019047619047619015,0.4888888888888889,watch,-0.1,0.8206349206349206,watch
2019-01-25,-0.5119047619047619,0.6531746031746032,buy,0.007142857142857153,0.49920634920634915,watch,-0.015873015873015886,0.7492063492063491,watch
2019-01-28,-0.5658730158730159,0.5992063492063492,buy,0.073015873015873,0.5555555555555556,watch,-0.012698412698412724,0.7269841269841271,watch
2019-01-29,-0.584920634920635,0.5992063492063493,buy,0.10952380952380956,0.5571428571428572,watch,0.20793650793650797,0.45555555555555555,watch
2019-01-30,-0.5801587301587302,0.6103174603174604,buy,0.1111111111111111,0.5714285714285714,watch,0.2047619047619048,0.4587301587301587,watch
2019-01-31,-0.611904761904762,0.6134920634920635,buy,0.10317460317460317,0.5761904761904763,watch,-0.03968253968253968,0.7222222222222223,watch
2019-02-01,-0.6309523809523809,0.6325396825396825,buy,0.06984126984126984,0.5555555555555556,watch,-0.03968253968253968,0.5349206349206349,watch
2019-02-07,-0.6246031746031747,0.6261904761904762,buy,0.03650793650793648,0.5349206349206349,watch,-0.038095238095238064,0.5333333333333333,watch
2019-02-08,-0.5626984126984128,0.5642857142857143,buy,-0.034920634920634935,0.5492063492063491,watch,-0.1301587301587301,0.5523809523809524,watch
2019-02-11,-0.5722222222222223,0.5738095238095238,buy,-0.034920634920634935,0.5142857142857143,watch,-0.16507936507936505,0.5777777777777778,watch
2019-02-12,-0.5674603174603174,0.5690476190476191,buy,0.028571428571428577,0.5555555555555556,watch,-0.07142857142857145,0.6174603174603175,watch
2019-02-13,-0.584920634920635,0.5865079365079366,buy,0.09365079365079368,0.5793650793650794,watch,-0.18888888888888883,0.5603174603174602,watch
2019-02-14,-0.6182539682539683,0.6198412698412697,buy,0.05396825396825399,0.5619047619047618,watch,-0.19999999999999996,0.5746031746031746,watch
2019-02-15,-0.592857142857143,0.5944444444444444,buy,0.06984126984126987,0.5460317460317461,watch,-0.22222222222222224,0.5873015873015873,watch
2019-02-18,-0.5833333333333335,0.584920634920635,buy,0.11111111111111115,0.5587301587301587,watch,-0.22063492063492063,0.5761904761904763,watch
2019-02-19,-0.5500000000000002,0.5515873015873016,buy,0.1238095238095238,0.5714285714285714,watch,-0.07301587301587296,0.4984126984126984,watch
2019-02-20,-0.5738095238095238,0.5753968253968255,buy,0.2523809523809524,0.626984126984127,watch,0.007936507936507943,0.5253968253968254,watch
2019-02-21,-0.5642857142857143,0.565873015873016,buy,0.2555555555555556,0.6301587301587303,watch,-0.13968253968253969,0.48571428571428577,watch
2019-02-22,-0.5817460317460318,0.5833333333333333,buy,0.2063492063492064,0.5682539682539683,watch,0.08571428571428577,0.3460317460317461,watch
2019-02-25,-0.5801587301587303,0.5817460317460318,buy,0.20158730158730165,0.5603174603174604,watch,0.12380952380952381,0.2698412698412699,watch
2019-02-26,-0.5563492063492064,0.557936507936508,buy,0.22063492063492063,0.5857142857142857,watch,0.025396825396825414,0.4857142857142857,watch
2019-02-27,-0.623015873015873,0.6246031746031746,buy,0.22460317460317458,0.6023809523809525,watch,-0.2761904761904762,0.6,watch
2019-02-28,-0.41031746031746025,0.4119047619047619,buy,0.1111111111111111,0.48253968253968255,watch,-0.3317460317460318,0.47777777777777786,buy
2019-03-04,-0.35158730158730167,0.35317460317460314,buy,0.19761904761904753,0.5436507936507936,watch,-0.39047619047619053,0.49206349206349204,buy
2019-03-05,-0.28015873015873016,0.39920634920634923,watch,0.15317460317460316,0.49920634920634926,watch,-0.28412698412698406,0.28412698412698406,watch
2019-03-06,-0.22777777777777777,0.37539682539682545,watch,0.09206349206349201,0.5492063492063493,watch,-0.23809523809523805,0.3301587301587301,watch
2019-03-07,-0.1753968253968254,0.3420634920634922,watch,0.0523809523809523,0.5253968253968253,watch,-0.42063492063492064,0.42063492063492064,buy
2019-03-08,0.03253968253968256,0.21031746031746032,watch,-0.03333333333333332,0.5253968253968254,watch,-0.47301587301587306,0.47301587301587306,buy
2019-03-11,-0.07539682539682543,0.23571428571428568,watch,0.06031746031746035,0.6126984126984126,watch,-0.4126984126984127,0.5047619047619049,buy
2019-03-12,-0.15793650793650793,0.2293650793650794,watch,0.15396825396825395,0.5,watch,-0.2238095238095238,0.4142857142857143,watch
2019-03-13,-0.051587301587301584,0.25,watch,0.06349206349206352,0.4793650793650794,watch,-0.26825396825396824,0.45555555555555555,watch
2019-03-14,-0.06111111111111111,0.2849206349206349,watch,0.015873015873015817,0.4539682539682539,watch,-0.45714285714285713,0.45714285714285713,buy
2019-03-15,-0.18015873015873018,0.3944444444444445,watch,0.13968253968253966,0.5206349206349207,watch,-0.3460317460317461,0.3460317460317461,buy
2019-03-18,-0.2880952380952381,0.35,watch,0.16190476190476197,0.6126984126984127,watch,-0.3285714285714286,0.4238095238095238,buy
2019-03-19,-0.2928571428571429,0.44682539682539685,watch,0.2555555555555556,0.5888888888888889,watch,-0.028571428571428577,0.22222222222222224,watch
2019-03-20,-0.32936507936507936,0.4198412698412699,buy,0.21587301587301583,0.6095238095238095,watch,-0.09999999999999996,0.18888888888888888,watch
2019-03-21,-0.3531746031746031,0.48492063492063486,buy,0.08571428571428573,0.38730158730158737,watch,-0.20634920634920637,0.20634920634920637,watch
2019-03-22,-0.36111111111111116,0.46746031746031746,buy,0.02063492063492056,0.40476190476190477,watch,-0.12222222222222222,0.31587301587301586,watch
2019-03-25,-0.05634920634920633,0.35,watch,-0.1857142857142857,0.3412698412698413,watch,-0.3460317460317461,0.38095238095238104,buy
2019-03-26,-0.06904761904761908,0.35952380952380947,watch,-0.10634920634920636,0.4142857142857143,watch,-0.41428571428571426,0.4873015873015873,buy
2019-03-27,-0.08492063492063495,0.35,watch,-0.3920634920634921,0.4015873015873016,buy,-0.5650793650793652,0.5650793650793652,buy
2019-03-28,0.007142857142857153,0.28650793650793654,watch,-0.5555555555555556,0.5555555555555556,buy,-0.7222222222222223,0.7222222222222223,buy
2019-03-29,-0.2198412698412698,0.37063492063492065,watch,-0.557142857142857,0.557142857142857,buy,-0.8174603174603174,0.8174603174603174,buy
2019-04-01,-0.32936507936507936,0.3309523809523809,buy,-0.1507936507936508,0.18253968253968253,watch,-0.6777777777777777,0.6777777777777777,buy
2019-04-02,-0.40714285714285725,0.4087301587301587,buy,-0.21904761904761902,0.3142857142857143,watch,-0.6428571428571429,0.7317460317460318,buy
2019-04-03,-0.457936507936508,0.5166666666666667,buy,0.1301587301587302,0.2888888888888889,watch,-0.446031746031746,0.7126984126984126,buy
2019-04-04,-0.4579365079365079,0.503968253968254,buy,0.08253968253968252,0.3142857142857143,watch,-0.5349206349206348,0.8174603174603173,buy
2019-04-05,-0.542063492063492,0.5436507936507937,buy,0.37460317460317455,0.37460317460317455,caution,-0.48095238095238085,0.7793650793650794,buy
2019-04-08,-0.5341269841269842,0.5357142857142857,buy,0.1873015873015873,0.39047619047619053,watch,-0.32539682539682535,0.6460317460317461,buy
2019-04-09,-0.5531746031746032,0.5547619047619047,buy,0.29206349206349214,0.38095238095238104,watch,-0.36349206349206353,0.6873015873015873,buy
2019-04-10,-0.6166666666666667,0.6182539682539684,buy,0.31746031746031744,0.3619047619047619,caution,-0.3269841269841271,0.6285714285714286,buy
2019-04-11,-0.5880952380952381,0.5896825396825398,buy,0.3825396825396826,0.3952380952380953,caution,-0.4158730158730159,0.7365079365079364,buy
2019-04-12,-0.6087301587301588,0.6103174603174603,buy,0.3222222222222223,0.41111111111111115,caution,-0.22698412698412695,0.5444444444444444,watch
2019-04-15,-0.6182539682539683,0.6198412698412699,buy,0.4603174603174604,0.4603174603174604,caution,-0.2031746031746032,0.4952380952380953,watch
2019-04-16,-0.6404761904761905,0.642063492063492,buy,0.4587301587301587,0.4936507936507937,caution,0.06666666666666668,0.28571428571428575,watch
2019-04-17,-0.6341269841269842,0.6357142857142857,buy,0.6190476190476191,0.6190476190476191,caution,-0.12539682539682545,0.4523809523809524,watch
2019-04-18,-0.4119047619047619,0.4134920634920636,buy,0.40634920634920635,0.40634920634920635,caution,-0.18095238095238103,0.44126984126984126,watch
2019-04-19,-0.3944444444444446,0.39603174603174607,buy,0.4476190476190476,0.4476190476190476,caution,-0.17777777777777776,0.40634920634920635,watch
2019-04-22,-0.5944444444444444,0.5960317460317461,buy,0.6920634920634922,0.6920634920634922,caution,-0.17777777777777776,0.3809523809523809,watch
2019-04-23,-0.6007936507936508,0.6023809523809525,buy,0.7174603174603175,0.7174603174603175,caution,-0.11428571428571427,0.4285714285714285,watch
2019-04-24,-0.4896825396825398,0.49126984126984125,buy,0.6444444444444446,0.6444444444444446,caution,-0.01904761904761905,0.2634920634920635,watch
2019-04-25,-0.49126984126984125,0.49285714285714277,buy,0.546031746031746,0.546031746031746,caution,-0.19365079365079368,0.41269841269841273,watch
2019-04-26,-0.4087301587301587,0.4103174603174604,buy,0.5349206349206349,0.5349206349206349,caution,0.06825396825396822,0.37936507936507935,watch
2019-04-29,-0.4484126984126984,0.45,buy,0.3492063492063492,0.3492063492063492,caution,-0.0619047619047619,0.3825396825396825,watch
2019-04-30,-0.33412698412698405,0.3357142857142857,buy,0.19206349206349205,0.20158730158730162,watch,-0.11746031746031745,0.3396825396825397,watch
2019-05-02,-0.39603174603174607,0.3976190476190476,buy,0.3412698412698413,0.3412698412698413,caution,-0.3682539682539682,0.7333333333333333,buy
2019-05-03,-0.2626984126984127,0.31190476190476196,watch,0.3317460317460317,0.34126984126984117,caution,-0.3563492063492064,0.4928571428571428,buy
2019-05-07,-0.16111111111111107,0.27698412698412694,watch,0.13015873015873017,0.26666666666666666,watch,-0.35714285714285715,0.4936507936507936,buy
2019-05-08,-0.11507936507936507,0.26904761904761904,watch,0.12222222222222223,0.407936507936508,watch,-0.47142857142857153,0.5698412698412699,buy
2019-05-09,0.3373015873015873,0.42619047619047623,caution,-0.038095238095238064,0.42222222222222217,watch,-0.5841269841269842,0.6793650793650794,buy
2019-05-10,0.31507936507936507,0.4198412698412699,caution,0.009523809523809525,0.4539682539682539,watch,-0.6365079365079366,0.7666666666666667,buy
2019-05-13,0.43730158730158736,0.43730158730158736,caution,-0.02063492063492067,0.47777777777777786,watch,-0.5301587301587302,0.6698412698412699,buy
2019-05-14,0.43888888888888894,0.44841269841269843,caution,-0.03888888888888893,0.45952380952380956,watch,-0.6412698412698412,0.7238095238095238,buy
2019-05-15,0.4039682539682539,0.41031746031746025,caution,-0.06825396825396826,0.4523809523809524,watch,-0.6174603174603175,0.7,buy
2019-05-16,0.523015873015873,0.523015873015873,caution,-0.2492063492063492,0.36349206349206353,watch,-0.8015873015873015,0.8015873015873015,buy
2019-05-17,0.5896825396825398,0.5896825396825398,caution,-0.4571428571428571,0.4571428571428571,buy,-0.8460317460317461,0.8460317460317461,buy
2019-05-20,0.5119047619047619,0.5119047619047619,caution,-0.28095238095238095,0.34444444444444444,watch,-0.842857142857143,0.842857142857143,buy
2019-05-21,0.4547619047619048,0.4547619047619048,caution,-0.3317460317460318,0.3317460317460318,buy,-0.815873015873016,0.815873015873016,buy
2019-05-22,0.41031746031746025,0.41031746031746025,caution,-0.4031746031746032,0.4031746031746032,buy,-0.8,0.8,buy
2019-05-23,0.4134920634920634,0.4134920634920634,caution,-0.5126984126984128,0.5126984126984128,buy,-0.8365079365079366,0.8365079365079366,buy
2019-05-24,0.48650793650793644,0.48650793650793644,caution,-0.5428571428571429,0.5428571428571429,buy,-0.8555555555555556,0.8555555555555556,buy
2019-05-27,0.4341269841269842,0.4341269841269842,caution,-0.4142857142857143,0.4142857142857143,buy,-0.7396825396825397,0.7396825396825397,buy
2019-05-28,0.40555555555555556,0.40555555555555556,caution,-0.3380952380952381,0.3380952380952381,buy,-0.823809523809524,0.823809523809524,buy
2019-05-29,0.45634920634920645,0.45634920634920645,caution,-0.4682539682539682,0.4682539682539682,buy,-0.8174603174603174,0.8174603174603174,buy
2019-05-30,0.40079365079365076,0.40079365079365076,caution,-0.4222222222222222,0.4222222222222222,buy,-0.8650793650793651,0.8650793650793651,buy
2019-05-31,0.3563492063492063,0.3563492063492063,caution,-0.6841269841269841,0.6841269841269841,buy,-0.8269841269841272,0.8269841269841272,buy
2019-06-03,0.24682539682539684,0.303968253968254,watch,-0.6619047619047619,0.6619047619047619,buy,-0.9095238095238095,0.9095238095238095,buy
2019-06-04,0.23095238095238094,0.2880952380952381,watch,-0.7412698412698414,0.7412698412698414,buy,-0.8936507936507937,0.8936507936507937,buy
2019-06-05,0.1928571428571429,0.2753968253968254,watch,-0.7714285714285716,0.7714285714285716,buy,-0.8714285714285714,0.8714285714285714,buy
2019-06-07,-0.12460317460317459,0.1388888888888889,watch,-0.7587301587301587,0.7587301587301587,buy,-0.8444444444444444,0.8444444444444444,buy
2019-06-10,-0.19444444444444442,0.2214285714285714,watch,-0.5539682539682541,0.6428571428571429,buy,-0.6809523809523809,0.7793650793650794,buy
2019-06-11,-0.33412698412698405,0.3357142857142857,buy,-0.4174603174603174,0.5412698412698412,buy,-0.6873015873015872,0.8142857142857143,buy
2019-06-12,-0.2992063492063492,0.3007936507936508,watch,-0.48253968253968255,0.6444444444444444,buy,-0.6349206349206349,0.8126984126984127,buy
