Date,cum_saa_effect,cum_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2012-04-30,-0.0036048999999999994,0.0022787999999999992,0.0009282700000000001,-0.0,-0.00039783000000000006
2012-05-31,-0.03363103333333333,0.018914549999999995,0.007489557833333338,-3.85e-05,-0.0072654255000000004
2012-06-30,-0.033244366666666664,0.018723499999999994,0.007422461316666671,-6.545e-05,-0.0071638553500000006
2012-07-31,-0.02859933333333333,0.017056999999999996,0.006707315463333337,-8.43149999999999e-05,-0.004919332870000002
2012-08-31,-0.029815599999999998,0.017056999999999996,0.0073669324995000035,-0.0001563199999999998,-0.005547987500500002
2012-09-30,-0.012426366666666668,0.017056999999999996,0.0017746122524666735,-0.0002067234999999997,0.006198522085799995
2012-10-31,-0.03023146666666667,0.017056999999999996,0.0057816218570016726,-0.00024200594999999962,-0.007634850759665005
2012-11-30,-0.0241716,0.013624349999999997,0.007208843779329505,-0.00027730823499999953,-0.0036157144556705056
2012-12-31,-0.009791033333333336,0.013624349999999997,0.003971991353008941,-0.0003125966354999995,0.007492711384175597
2013-01-31,-0.018689166666666666,0.013624349999999997,0.005398233287005283,-0.0003372985158499994,-3.881895511393188e-06
2013-02-28,-0.005746566666666668,0.013624349999999997,0.004022613211235747,-0.0003545898320949994,0.011545806712474066
2013-03-31,-0.0138425,0.013624349999999997,0.004681003669071766,-0.0003666937534664993,0.004096159915605253
2013-04-30,-0.025181433333333333,0.019808449999999995,0.0009634375862684363,-0.00041822100850644927,-0.004827766755571358
2013-05-31,-0.017087633333333335,0.014765499999999996,0.0030933512545909675,-0.00045429008703441417,0.0003169278342232103
2013-06-30,-0.04471166666666666,0.014765499999999996,0.00906096130017221,-0.0004890417320648387,-0.021374247098559306
2013-07-31,-0.03582093333333333,-0.002190100000000002,0.01955112464876937,-0.0006747155805435415,-0.019134624265107515
2013-08-31,-0.032369133333333334,-0.003970900000000002,0.019016771542903686,-0.0007181138970146893,-0.018041375687444346
2013-09-30,-0.01888506666666667,-0.011093950000000002,0.017663513653054897,-0.0007484927185444927,-0.013063995732156271
2013-10-31,-0.010980366666666668,-0.011093950000000002,0.014159900022205543,-0.0008183065885162975,-0.00873272323297743
2013-11-30,-0.0076008333333333344,-0.011093950000000002,0.013032395562410929,-0.0008671762974965609,-0.006529564068418974
2013-12-31,-0.012701366666666667,-0.011093950000000002,0.014178324355231506,-0.0009013850937827453,-0.010518377405217915
2014-01-31,-0.0290423,-0.011093950000000002,0.016669907840129165,-0.0009253312511830744,-0.024391673411053916
2014-02-28,-0.0234443,-0.0186037,0.021337906686408135,-0.001058568941002844,-0.021768662254594718
2014-03-31,-0.024185433333333336,-0.0186037,0.02161623625422319,-0.0011153025581290051,-0.022288199637239155
2014-04-30,-0.028367000000000003,-0.01635615,0.021094441668723887,-0.001140605587722604,-0.024769313918998725
2014-05-31,-0.022465933333333337,-0.01635615,0.019448407980937596,-0.001186405060114423,-0.020560080412510166
2014-06-30,-0.023824733333333337,-0.01635615,0.019798692255725794,-0.0012184646907886963,-0.02160065576839624
2014-07-31,-0.011309800000000004,-0.022930799999999998,0.022653273596902945,-0.001256022949316705,-0.012843349352413762
2014-08-31,-0.019065033333333335,-0.022930799999999998,0.02433970644881198,-0.0012897321683470989,-0.018945859052868455
2014-09-30,-0.032704866666666665,-0.0150492,0.020969713806865853,-0.001326135715025823,-0.02811048857482664
2014-10-31,-0.04349543333333333,0.004723999999999997,0.009650390512158897,-0.00150161819770093,-0.03062266101887537
2014-11-30,-0.03966736666666667,-0.002802500000000003,0.012777812270324332,-0.0016244559355735049,-0.03131651033191584
2014-12-31,-0.04903696666666667,-0.002802500000000003,0.02018055114462615,-0.0017484695190627024,-0.03340738504110322
2015-01-31,-0.040265333333333334,-0.014455500000000001,0.023361315513891683,-0.001811660010620264,-0.03317117783006192
2015-02-28,-0.039651933333333333,-0.014455500000000001,0.022958258840773564,-0.0019174266665299708,-0.03306660115908974
2015-03-31,-0.0343079,-0.014455500000000001,0.020408008044197564,-0.0019914633256667654,-0.030346855281469205
2015-04-30,-0.019464400000000003,-0.014455500000000001,0.015525745007327486,-0.002043288987062522,-0.020437443979735043
2015-05-31,-0.028560733333333334,-0.014455500000000001,0.017619845799266138,-0.002079566950039551,-0.02747595448410675
2015-06-30,-0.04150433333333334,0.0030652499999999933,0.007449727780836321,-0.0022041723759556302,-0.03319352792845265
2015-07-31,-0.054481666666666664,0.010221299999999992,0.007638106636163378,-0.002223410196526171,-0.038845670227029463
2015-08-31,-0.07239356666666666,0.044117699999999996,-0.00897932451798341,-0.0023749437221267924,-0.03963013490677687
2015-09-30,-0.06598196666666666,0.031130299999999996,-0.0042981756441298055,-0.0024810171900472274,-0.041630859500843706
2015-10-31,-0.04384713333333333,0.0008338000000000026,-0.0023814177175876896,-0.0025243135252653735,-0.0479190645761864
2015-11-30,-0.05211006666666666,0.0008338000000000026,0.005101190270553559,-0.002665530091331658,-0.048840606487444774
2015-12-31,-0.055404966666666666,0.005572300000000002,0.003817761198357417,-0.002716678495085259,-0.04873158396339452
2016-01-31,-0.06851356666666666,0.0128858,0.008238538441908447,-0.0027714752554375624,-0.050160703480195794
2016-02-29,-0.06324316666666667,0.0022316000000000003,0.012491978610182409,-0.0028981175231909497,-0.05141770557967522
