dataset,ticker,start_date,end_date,observation_count,missing_count,missing_ratio
daily_prices,069500,2012-03-07,2026-06-26,3485,0,0.0
daily_prices,114260,2012-03-07,2026-06-26,3485,0,0.0
daily_prices,153130,2012-03-07,2026-06-26,3485,0,0.0
monthly_prices,069500,2012-03-31,2026-06-30,172,0,0.0
monthly_prices,114260,2012-03-31,2026-06-30,172,0,0.0
monthly_prices,153130,2012-03-31,2026-06-30,172,0,0.0
monthly_returns,069500,2012-04-30,2026-06-30,171,1,0.005813953488372093
monthly_returns,114260,2012-04-30,2026-06-30,171,1,0.005813953488372093
monthly_returns,153130,2012-04-30,2026-06-30,171,1,0.005813953488372093
