Date,069500_direction,069500_intensity,069500_signal,114260_direction,114260_intensity,114260_signal,153130_direction,153130_intensity,153130_signal
2012-06-15,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-18,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-19,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-20,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-21,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-22,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-25,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-26,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-27,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-28,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-06-29,-0.013657514087727524,0.013657514087727524,watch,-0.015499318286379536,0.015499318286379536,watch,-0.0924068768376083,0.0924068768376083,watch
2012-07-02,-0.0018415045533142394,0.15407159194069525,watch,0.21507546467048236,0.21507546467048236,watch,-0.055066008366947014,0.38599787734966823,watch
2012-07-03,-0.15109998012526168,0.24037142713941775,watch,0.22733567371004298,0.33976440715621736,watch,-0.027506927419124878,0.5999673665829568,watch
2012-07-04,-0.1911300747781651,0.2735116951911201,watch,0.2032352835478299,0.38963704303996577,watch,0.02788882108220875,0.6411787634668629,watch
2012-07-05,-0.13049656161143985,0.14608506422019768,watch,0.09336209767290278,0.3805824688001106,watch,-0.02450165844247568,0.6199601001382199,watch
2012-07-06,-0.03238903231071749,0.09850704363580272,watch,-0.029676684517711285,0.36305949558305756,watch,-0.14698613901388222,0.49750527991646526,watch
2012-07-09,0.07431581127190912,0.07431581127190912,watch,-0.23696601140473195,0.3019921408202343,watch,-0.14694596294563864,0.46431227804594316,watch
2012-07-10,0.10461301442847429,0.10720026870090767,watch,-0.24285030922057435,0.2805964892187192,watch,-0.24158278189694818,0.4041884333915551,watch
2012-07-11,0.09584835495905854,0.10119590866617312,watch,-0.270631240442549,0.2712002386341213,watch,-0.19910203253825892,0.4029219166263246,watch
2012-07-12,0.26544289678996796,0.26544289678996796,watch,-0.4523479867850325,0.8523479867850325,buy,-0.23701290095979183,0.6370129009597918,watch
2012-07-13,0.15550622633284147,0.15550622633284147,watch,-0.43844915037211885,0.8384491503721188,buy,-0.30470598399139215,0.7047059839913922,buy
2012-07-16,0.13813904540669486,0.13813904540669486,watch,-0.42186425789658066,0.8218642578965807,buy,-0.22750195311919655,0.6275019531191965,watch
2012-07-17,0.1235794057251375,0.1235794057251375,watch,-0.4547220040718764,0.8547220040718764,buy,-0.2971353193518577,0.6971353193518577,watch
2012-07-18,0.22832153453789383,0.22832153453789383,watch,-0.4807074348888608,0.8807074348888608,buy,-0.284423965979196,0.6756346024420598,watch
2012-07-19,0.1167175921659945,0.15095910856399106,watch,-0.4640234865951014,0.8640234865951014,buy,-0.3248947614456823,0.7248947614456823,buy
2012-07-20,-0.011071811298204394,0.1348532449653132,watch,-0.39210410153594155,0.7921041015359416,buy,-0.2383758236129757,0.6383758236129757,watch
2012-07-23,0.07543270183223039,0.12523223600293326,watch,-0.4279470366301763,0.8279470366301763,buy,-0.27087280289155674,0.6708728028915567,watch
2012-07-24,0.018514619562815735,0.10119458774282969,watch,-0.3939626663474799,0.798180313447463,buy,-0.205636312785093,0.6524850919870245,watch
2012-07-25,0.11275734466167807,0.12268236137245976,watch,-0.4234577754687902,0.8044744838205218,buy,-0.24174624780871223,0.6346166779931371,watch
2012-07-26,0.05967062181451256,0.08939436196521877,watch,-0.4030224572568569,0.7684029532468882,buy,-0.2524780125400652,0.6522906445564496,watch
2012-07-27,-0.11625635011529553,0.17943299166203122,watch,-0.17388491595132358,0.6978067714984294,watch,-0.10502192095447534,0.6466586388507681,watch
2012-07-30,-0.1632236917955761,0.23739518305226512,watch,-0.19700413954324714,0.654248354232263,watch,-0.09480960398287007,0.5804967241791474,watch
2012-07-31,-0.2960454147652123,0.41292205340059873,watch,-0.1167949879612043,0.6530629787950177,watch,-0.05695599855894216,0.6163485279595556,watch
2012-08-01,-0.262362037728148,0.37617931839898466,watch,-0.10777889578641854,0.6009850296169862,watch,-0.028991117771177386,0.5514122525022667,watch
2012-08-02,-0.20305822335834417,0.32001414991768784,watch,-0.16347153196793854,0.5977775401013965,watch,-0.08292167626575786,0.5509955235221561,watch
2012-08-03,-0.11630428327175803,0.24029155965902038,watch,-0.21763572187446623,0.5899686530320964,watch,-0.1052411172849897,0.5103479907547235,watch
2012-08-06,-0.33196552874387486,0.48004082162117706,buy,-0.10806314430866087,0.6064239983032695,watch,0.015433217269832902,0.5281435777646635,watch
2012-08-07,-0.353751755266557,0.4962694646677921,buy,-0.06661380994464089,0.6118133707542611,watch,0.04200401408841572,0.5461714603099017,watch
2012-08-08,-0.43019324723474994,0.5740346654601473,buy,-0.0355340707157119,0.6221795027254712,watch,0.12165182290027594,0.521489043210385,watch
2012-08-09,-0.5403740883005441,0.6596259116994558,buy,0.03393129559133154,0.361199550056365,watch,0.17225429178657511,0.4343885674961224,watch
2012-08-10,-0.5444087515437581,0.6555912484562418,buy,0.12797572147791736,0.3301855734140889,watch,0.25366585941466185,0.4614782256068729,watch
2012-08-13,-0.5056768313951582,0.6300133150057348,buy,0.13630641282916722,0.30694247967532035,watch,0.23287137143026612,0.4120063950135106,watch
2012-08-14,-0.523732431984998,0.6537283807253107,buy,0.25075831774216933,0.3099465754252575,watch,0.3128608768233365,0.45419265698362643,caution
2012-08-16,-0.5478172956870517,0.6436662998573661,buy,0.426933292141354,0.426933292141354,caution,0.3231567749505382,0.4402195937732708,caution
2012-08-17,-0.47757623786806797,0.5730254739206178,buy,0.4113661564549757,0.4113661564549757,caution,0.33679384678581487,0.44382677912618407,caution
2012-08-20,-0.45452005612960966,0.5513187337725031,buy,0.37835414982696847,0.37835414982696847,caution,0.3062140285743588,0.40892764032479717,caution
