method,strategy,months,start_date,end_date,total_return,cagr,annual_volatility,sharpe,mdd,calmar,win_rate,mean_monthly_return,std_monthly_return,min_monthly_return,max_monthly_return,total_return_diff_vs_ew,cagr_diff_vs_ew,annual_volatility_diff_vs_ew,sharpe_diff_vs_ew,mdd_diff_vs_ew,calmar_diff_vs_ew,win_rate_diff_vs_ew,mean_monthly_return_diff_vs_ew
rank,EW,171,2012-04-30,2026-06-30,1.461787879062701,0.06526138516536828,0.07993141177068436,0.8317116681289745,-0.13571144643198574,0.4808834249517428,0.6081871345029239,0.005539990651641654,0.02307421105125572,-0.0698501779600078,0.1170629968579534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank,EW_HSI_overlay,171,2012-04-30,2026-06-30,1.4957868137039503,0.06628723359088018,0.09273263651264058,0.7383630692985048,-0.1360741495267106,0.48714053199258367,0.6081871345029239,0.0057058628433013245,0.02676960632661838,-0.1020316972278742,0.1751552377340511,0.03399893464124926,0.0010258484255118994,0.012801224741956219,-0.09334859883046964,-0.00036270309472485884,0.00625710704084087,0.0,0.00016587219165967084
zscore,EW,171,2012-04-30,2026-06-30,1.461787879062701,0.06526138516536828,0.07993141177068436,0.8317116681289745,-0.13571144643198574,0.4808834249517428,0.6081871345029239,0.005539990651641654,0.02307421105125572,-0.0698501779600078,0.1170629968579534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zscore,EW_HSI_overlay,171,2012-04-30,2026-06-30,1.5089714987615248,0.06668156129293523,0.09263751469924929,0.7430338648443365,-0.14627990404685798,0.45584909101099125,0.6081871345029239,0.005736067548046437,0.026742147024334747,-0.1020316972278742,0.1751552377340511,0.04718361969882379,0.0014201761275669522,0.01270610292856493,-0.08867780328463792,-0.01056845761487224,-0.025034333940751552,0.0,0.00019607689640478362
