checkpoint,phat_pct,se_pct,ci_low_pct,ci_high_pct,gap_to_final_pct_points,final_phat_pct,metric,display_name
100,95.0,2.179449471770338,90.72827903533013,99.27172096466985,1.4999999999999902,93.5,net10_cagr_pct,Net10bp CAGR
200,95.0,1.541103500742245,91.9794371385452,98.02056286145479,1.4999999999999902,93.5,net10_cagr_pct,Net10bp CAGR
300,94.0,1.3711309200802093,91.3125833966428,96.6874166033572,0.49999999999998934,93.5,net10_cagr_pct,Net10bp CAGR
400,94.0,1.1874342087037921,91.67262895094056,96.32737104905942,0.49999999999998934,93.5,net10_cagr_pct,Net10bp CAGR
500,93.8,1.0784804124322338,91.68617839163281,95.91382160836717,0.29999999999998916,93.5,net10_cagr_pct,Net10bp CAGR
600,93.83333333333333,0.9820377529138826,91.90853933762213,95.75812732904454,0.33333333333332993,93.5,net10_cagr_pct,Net10bp CAGR
700,93.71428571428572,0.917341831045234,91.91629572543705,95.51227570313438,0.2142857142857113,93.5,net10_cagr_pct,Net10bp CAGR
800,93.5,0.8716005392380155,91.7916629430935,95.20833705690652,0.0,93.5,net10_cagr_pct,Net10bp CAGR
900,93.44444444444444,0.8250119506969988,91.82742102107832,95.06146786781056,-0.05555555555556424,93.5,net10_cagr_pct,Net10bp CAGR
1000,93.5,0.7795832219846701,91.97201688491006,95.02798311508995,0.0,93.5,net10_cagr_pct,Net10bp CAGR
100,98.0,1.4000000000000006,95.256,100.0,3.600000000000003,94.39999999999999,net10_mdd_pct,Net10bp MDD
200,97.5,1.1039701082909814,95.33621858774967,99.66378141225032,3.1000000000000028,94.39999999999999,net10_mdd_pct,Net10bp MDD
300,94.33333333333334,1.3348602368232605,91.71700726915975,96.94965939750692,-0.06666666666665932,94.39999999999999,net10_mdd_pct,Net10bp MDD
400,94.5,1.1399013115178003,92.2657934294251,96.73420657057488,0.10000000000000009,94.39999999999999,net10_mdd_pct,Net10bp MDD
500,94.39999999999999,1.0282412168358166,92.38464721500179,96.41535278499819,0.0,94.39999999999999,net10_mdd_pct,Net10bp MDD
600,94.66666666666667,0.9173229973577909,92.86871359184539,96.46461974148794,0.2666666666666706,94.39999999999999,net10_mdd_pct,Net10bp MDD
700,94.28571428571428,0.877313684089987,92.56617946489791,96.00524910653066,-0.11428571428571122,94.39999999999999,net10_mdd_pct,Net10bp MDD
800,94.25,0.8230564227317589,92.63680941144575,95.86319058855425,-0.14999999999999458,94.39999999999999,net10_mdd_pct,Net10bp MDD
900,94.33333333333334,0.770681917060437,92.82279677589487,95.8438698907718,-0.06666666666665932,94.39999999999999,net10_mdd_pct,Net10bp MDD
1000,94.39999999999999,0.7270763371201131,92.97493037924457,95.82506962075541,0.0,94.39999999999999,net10_mdd_pct,Net10bp MDD
100,98.0,1.4000000000000006,95.256,100.0,1.6000000000000014,96.39999999999999,net10_calmar,Net10bp Calmar
200,99.0,0.7035623639735147,97.6210177666119,100.0,2.6000000000000023,96.39999999999999,net10_calmar,Net10bp Calmar
300,96.66666666666667,1.0363754503432017,94.63537078399399,98.69796254933935,0.2666666666666706,96.39999999999999,net10_calmar,Net10bp Calmar
400,96.75,0.8866192813152663,95.01222620862208,98.48777379137792,0.35000000000000586,96.39999999999999,net10_calmar,Net10bp Calmar
500,97.0,0.7628892449104264,95.50473707997557,98.49526292002443,0.6000000000000005,96.39999999999999,net10_calmar,Net10bp Calmar
600,97.33333333333334,0.657717714975499,96.04420661198137,98.62246005468532,0.9333333333333416,96.39999999999999,net10_calmar,Net10bp Calmar
700,97.0,0.6447590912226722,95.73627218120356,98.26372781879643,0.6000000000000005,96.39999999999999,net10_calmar,Net10bp Calmar
800,96.5,0.6497595709183516,95.22647124100003,97.77352875899996,0.10000000000000009,96.39999999999999,net10_calmar,Net10bp Calmar
900,96.44444444444444,0.6172641972148047,95.23460661790342,97.65428227098546,0.04444444444444695,96.39999999999999,net10_calmar,Net10bp Calmar
1000,96.39999999999999,0.589101010014412,95.24536202037174,97.55463797962824,0.0,96.39999999999999,net10_calmar,Net10bp Calmar
100,94.0,2.3748684174075843,89.34525790188113,98.65474209811886,3.599999999999992,90.4,net10_sharpe,Net10bp Sharpe
200,94.0,1.6792855623746672,90.70860029774565,97.29139970225434,3.599999999999992,90.4,net10_sharpe,Net10bp Sharpe
300,92.0,1.5663120165960969,88.93002844747166,95.06997155252836,1.6000000000000014,90.4,net10_sharpe,Net10bp Sharpe
400,90.75,1.4486523910172517,87.91064131360619,93.58935868639381,0.34999999999999476,90.4,net10_sharpe,Net10bp Sharpe
500,90.60000000000001,1.3050976974924136,88.04200851291488,93.15799148708514,0.20000000000000018,90.4,net10_sharpe,Net10bp Sharpe
600,91.33333333333333,1.1485901180400513,89.08209670197483,93.58456996469184,0.9333333333333305,90.4,net10_sharpe,Net10bp Sharpe
700,90.85714285714286,1.089360151354271,88.7219969604885,92.99228875379723,0.45714285714285596,90.4,net10_sharpe,Net10bp Sharpe
800,90.25,1.0487716028764318,88.1944076583622,92.3055923416378,-0.15000000000000568,90.4,net10_sharpe,Net10bp Sharpe
900,90.44444444444444,0.9799358899553053,88.52377010013205,92.36511878875685,0.04444444444444695,90.4,net10_sharpe,Net10bp Sharpe
1000,90.4,0.9315793041926167,88.57410456378247,92.22589543621753,0.0,90.4,net10_sharpe,Net10bp Sharpe
100,80.0,4.0,72.16,87.84,6.000000000000005,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
200,78.0,2.9291637031753615,72.25883914177629,83.74116085822371,4.0000000000000036,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
300,76.0,2.4657656011875906,71.16709942167232,80.83290057832768,2.0000000000000018,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
400,73.25,2.213276699827656,68.9119776683378,77.58802233166222,-0.7499999999999951,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
500,72.8,1.9900552756142227,68.89949165979613,76.70050834020388,-1.200000000000001,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
600,72.66666666666667,1.8194423240021569,69.10055971162244,76.23277362171089,-1.3333333333333308,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
700,73.0,1.6780090243244477,69.71110231232409,76.28889768767591,-1.0000000000000009,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
800,73.5,1.5603485187611132,70.44171690322821,76.55828309677179,-0.5000000000000004,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
900,73.44444444444444,1.4720952658979942,70.55913772328438,76.3297511656045,-0.5555555555555536,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
1000,74.0,1.3870832707519762,71.28131678932613,76.71868321067387,0.0,74.0,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익
100,21.0,4.07308237088326,13.016758553068808,28.983241446931192,-1.4000000000000012,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
200,24.0,3.0199337741083,18.08092980274773,29.919070197252267,1.5999999999999988,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
300,22.666666666666664,2.4172221583799374,17.92891123624199,27.40442209709134,0.26666666666666505,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
400,21.75,2.062727260206739,17.70705456999479,25.79294543000521,-0.6500000000000006,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
500,22.0,1.8525657883055058,18.36897105492121,25.631028945078793,-0.40000000000000036,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
600,22.333333333333332,1.7002723093451606,19.00079960701682,25.665867059649848,-0.06666666666666765,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
700,21.857142857142858,1.5620406030193486,18.795543275224937,24.918742439060782,-0.5428571428571421,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
800,22.0,1.464581851587681,19.129419570888146,24.870580429111854,-0.40000000000000036,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
900,22.666666666666664,1.395583863831785,19.931322293556367,25.402011039776962,0.26666666666666505,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
1000,22.400000000000002,1.3184233007649706,19.815890330500658,24.984109669499343,0.0,22.400000000000002,net10_ann_vol_pct,Net10bp 연환산 변동성
100,35.0,4.769696007084727,25.651395826113934,44.348604173886066,-2.8000000000000025,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
200,33.0,3.32490601370926,26.483184213129853,39.516815786870154,-4.799999999999999,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
300,33.666666666666664,2.728383051199753,28.319035886315152,39.01429744701818,-4.133333333333333,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
400,35.25,2.388743131858258,30.568063461557816,39.93193653844218,-2.5500000000000025,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
500,36.6,2.154270178041742,32.377630451038186,40.82236954896181,-1.200000000000001,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
600,37.0,1.9710403344427023,33.1367609444923,40.86323905550769,-0.8000000000000007,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
700,37.42857142857143,1.8291134400786584,33.84350908601726,41.0136337711256,-0.37142857142857255,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
