method,strategy,signal_date,Date,hsi_state5,state_name_kr,action,069500_weight,114260_weight,153130_weight
rank,EW,2013-12-31,2014-01-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-12-31,2014-01-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-01-31,2014-02-28,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-01-31,2014-02-28,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-02-28,2014-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-02-28,2014-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-03-31,2014-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-03-31,2014-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-04-30,2014-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-04-30,2014-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-05-31,2014-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-05-31,2014-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-06-30,2014-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-06-30,2014-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-07-31,2014-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-07-31,2014-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-08-31,2014-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-08-31,2014-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-09-30,2014-10-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-09-30,2014-10-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-10-31,2014-11-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-10-31,2014-11-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-11-30,2014-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-11-30,2014-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-12-31,2015-01-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-12-31,2015-01-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2015-01-31,2015-02-28,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-01-31,2015-02-28,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2015-02-28,2015-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-02-28,2015-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2015-03-31,2015-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-03-31,2015-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2015-04-30,2015-05-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-04-30,2015-05-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2015-05-31,2015-06-30,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-05-31,2015-06-30,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2015-06-30,2015-07-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-06-30,2015-07-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2015-07-31,2015-08-31,accident_zone,강한 위험 악화,강한 방어전환,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-07-31,2015-08-31,accident_zone,강한 위험 악화,강한 방어전환,0.1,0.45,0.45
rank,EW,2015-08-31,2015-09-30,accident_zone,강한 위험 악화,강한 방어전환,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-08-31,2015-09-30,accident_zone,강한 위험 악화,강한 방어전환,0.1,0.45,0.45
rank,EW,2015-09-30,2015-10-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-09-30,2015-10-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2015-10-31,2015-11-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-10-31,2015-11-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2015-11-30,2015-12-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-11-30,2015-12-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2015-12-31,2016-01-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2015-12-31,2016-01-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-01-31,2016-02-29,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-01-31,2016-02-29,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2016-02-29,2016-03-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-02-29,2016-03-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-03-31,2016-04-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-03-31,2016-04-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2016-04-30,2016-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-04-30,2016-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-05-31,2016-06-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-05-31,2016-06-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2016-06-30,2016-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-06-30,2016-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-07-31,2016-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-07-31,2016-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-08-31,2016-09-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-08-31,2016-09-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
