strategy,months,cum_return,cagr,ann_vol,mdd,sharpe,calmar,monthly_win_rate,avg_turnover_ann
WF_selected_lambda,96,0.9076236013155792,0.08408063301656377,0.1217325119287646,-0.15334823762919358,0.6906998934332848,0.5482986587682633,0.5625,0.6779852023196105
FixedBM_70_20_10,96,1.2461051314202702,0.10644227255712702,0.17736268512060635,-0.25674223780608874,0.6001390455086223,0.4145880844020699,0.5520833333333334,0.0
EW,96,0.6297656460849419,0.06295687419355533,0.08621081008272957,-0.13571143569546973,0.7302665887623686,0.4639024992324721,0.5729166666666666,0.0
static_lambda_0.1,96,0.900812146451178,0.08359601649241455,0.11821664039003904,-0.14787873431449194,0.7071425496157,0.5653011359607115,0.5625,0.3308783008445385
static_lambda_0.3,96,1.0263498979100358,0.09229338829828637,0.1323814790938062,-0.15334823762919336,0.6971774974117549,0.6018549004877263,0.5729166666666666,0.9046459791866559
static_lambda_0.5,96,0.9602523272175876,0.08777480946512362,0.1383952501801618,-0.1768842605741392,0.6342328176065225,0.4962273589533633,0.5833333333333334,1.413295902362757
static_lambda_0.7,96,0.8787558464546075,0.08201627483215734,0.1437856665077364,-0.20189338958528824,0.5704064725237717,0.40623556323774646,0.59375,1.9188482193368297
static_lambda_1.0,96,0.8305291517263875,0.0785047972094921,0.15370018193945467,-0.23861954954928832,0.5107658053418348,0.3289956642604275,0.6354166666666666,2.7
