strategy,period,months,cum_return,cagr,ann_vol,mdd,sharpe,calmar,monthly_win_rate,avg_turnover_ann
FixedBM_70_20_10,FULL,171,3.4255342391602692,0.1100203139504572,0.16578730181161153,-0.25674223780608885,0.6636232856692256,0.42852440210306514,0.5847953216374269,0.0
FixedBM_70_20_10,IS,105,0.5728647432068543,0.05312279824568544,0.1036540560136895,-0.16502927373451926,0.5125009120595296,0.3218992427437055,0.6,0.0
FixedBM_70_20_10,OOS,66,1.8136775639952463,0.20694155796806268,0.23111026582089864,-0.25674223780608885,0.8954234777629231,0.8060284888704624,0.5606060606060606,0.0
EW,FULL,171,1.4657426460774619,0.06538138687943928,0.07995025366874507,-0.1357114356954694,0.8177758528488424,0.4817677047213051,0.6023391812865497,0.0
EW,IS,105,0.38685281613699085,0.03808291311577028,0.04890985835740721,-0.06137177253358728,0.7786347046331769,0.6205281604817333,0.6095238095238096,0.0
EW,OOS,66,0.7779411177500906,0.11029791051586768,0.11232590661351019,-0.1357114356954694,0.9819454286300985,0.812738513527861,0.5909090909090909,0.0
VAA_like_proxy,FULL,171,1.1052934588810603,0.0536311611202509,0.08939497029206621,-0.11293293616009248,0.5999348838646089,0.4748938878576925,0.7076023391812866,2.16140350877193
VAA_like_proxy,IS,105,0.43932622971670265,0.04249826701087844,0.07284441114287761,-0.0956709186233754,0.5834114977952393,0.4442130129238122,0.7619047619047619,2.48
VAA_like_proxy,OOS,66,0.4626937350370093,0.07158812225003386,0.1111800567382176,-0.11293293616009248,0.6438935574443343,0.6338994157430861,0.6212121212121212,1.6545454545454543
DAA_like_proxy,FULL,171,2.125806847318255,0.08326368724781408,0.11288915371040002,-0.1505037172971324,0.7375703024704607,0.5532334266763026,0.5906432748538012,1.3017543859649123
DAA_like_proxy,IS,105,0.5012534558439212,0.047529286625476175,0.08521903233853542,-0.11989130743932008,0.5577308885257523,0.3964364693372946,0.6095238095238096,1.2799999999999998
DAA_like_proxy,OOS,66,1.0821313250940032,0.14264300919216466,0.14577735333511319,-0.1505037172971322,0.9784991010521141,0.9477706714084111,0.5606060606060606,1.3363636363636364
BAA_like_proxy,FULL,171,1.579047553695652,0.06874560144356301,0.12750810395618606,-0.16228755315556154,0.5391469193768669,0.4236036597191565,0.7017543859649122,3.3684210526315788
BAA_like_proxy,IS,105,0.564372169841298,0.05247138039361143,0.10464111366496419,-0.14858451986131682,0.5014413413222286,0.35314163576788643,0.7142857142857143,4.0
BAA_like_proxy,OOS,66,0.6486150824054158,0.09515661481259308,0.15776843717588218,-0.16228755315556143,0.6031410117000229,0.5863457360859973,0.6818181818181818,2.3636363636363633
