strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,lambda,cagr_net_0bp,cagr_net_5bp,cagr_net_10bp,cagr_net_20bp
lambda_0.00,171,8.641981717597801,11.9192043306402,-19.575165331970567,0.754836739412629,0.7250468636888975,1.4183883649917428,0.44147681876707,59.06432748538012,0.0,0.0,0.0,8.641981717597801,8.641981717597801,8.641981717597801,8.641981717597801
lambda_0.10,171,8.638798542453795,11.351523784634693,-14.744180174515332,0.7865263175620656,0.7610254540581756,1.5552941368027249,0.5859124373280232,59.64912280701754,2.455393807086774,6.018832608679937,0.1,8.638798542453795,8.622901104165837,8.6070057420772,8.575221245538245
lambda_0.20,171,9.098414399101816,11.904664391528524,-14.440032937624581,0.790758924941384,0.7642730697705631,1.5068044713146063,0.6300826624429104,60.23391812865497,4.733467083729841,12.683827361015453,0.2,9.098414399101816,9.067646528670226,9.036886351191221,8.975389068328665
lambda_0.30,171,9.090997384867894,12.10191122789447,-15.219711332556995,0.7793068521339414,0.7512034432969127,1.407152230973674,0.5973173331757637,60.81871345029239,6.885562922592911,20.011915215340103,0.3,9.090997384867894,9.046257052926832,9.001532865830498,8.912132905849601
lambda_0.50,171,8.600187457913112,12.243396875557222,-17.51927764825416,0.7348689528906788,0.7024347528162358,1.1996274993558542,0.4908985193673291,61.98830409356725,11.075619755964643,34.829866624930794,0.5,8.600187457913112,8.528603548724757,8.457060441891517,8.314096555724436
lambda_0.70,171,8.101423441825295,12.549513325441517,-19.964589909007145,0.6829204391411455,0.6455567823017767,1.0524058017321072,0.4057896244675824,61.98830409356725,15.339066104203326,48.989780742977885,0.7,8.101423441825295,8.002813155631493,7.90427911332523,7.707439563669127
lambda_1.00,171,7.779254869339791,13.704949804966507,-23.459418269768406,0.6129474755843837,0.5676237403307149,0.9557748568527318,0.33160476444399867,65.49707602339181,22.017543859649123,70.0,1.0,7.779254869339791,7.638347752199559,7.4975904957876205,7.216525065596091
