year,strategy,annual_buy_turnover_pct,annual_sell_turnover_pct,annual_oneway_turnover_pct,annual_double_sided_turnover_pct,max_monthly_oneway_turnover_pct,annual_backtest_turnover_pct,max_abs_turnover_diff
2012,lambda_0.1,7.474199999999998,7.474200000000001,7.474199999999999,14.948399999999998,2.0000000000000018,7.474199999999999,0.0
2013,lambda_0.1,18.68623222179224,18.686232221792235,18.68623222179224,37.37246444358448,5.934719427820001,18.68623222179224,0.0
2014,lambda_0.1,26.416856199047363,26.416856199047356,26.416856199047356,52.83371239809471,5.7939609559479175,26.416856199047356,0.0
2015,lambda_0.1,32.343327655218104,32.343327655218104,32.343327655218104,64.68665531043621,5.091238298120225,32.343327655218104,0.0
2016,lambda_0.1,24.344683012091306,24.344683012091313,24.344683012091313,48.689366024182625,4.232281624547357,24.344683012091313,0.0
2017,lambda_0.1,24.702519534867832,24.702519534867832,24.70251953486783,49.40503906973566,6.018832608679937,24.70251953486783,0.0
2018,lambda_0.1,38.216334564559205,38.2163345645592,38.216334564559205,76.43266912911841,4.983956074554909,38.216334564559205,0.0
2019,lambda_0.1,29.211594851575956,29.21159485157596,29.21159485157595,58.4231897031519,3.774708012201611,29.21159485157595,0.0
2020,lambda_0.1,32.88841276610795,32.888412766107955,32.88841276610795,65.7768255322159,5.068614515762783,32.88841276610795,0.0
2021,lambda_0.1,31.875106193037368,31.875106193037357,31.87510619303736,63.75021238607472,4.891013462445873,31.87510619303736,0.0
2022,lambda_0.1,39.850726463309236,39.850726463309236,39.850726463309236,79.70145292661847,4.056546852967968,39.850726463309236,0.0
2023,lambda_0.1,28.740906826922775,28.740906826922767,28.740906826922775,57.48181365384555,5.242173744795473,28.740906826922775,0.0
2024,lambda_0.1,35.3942215268715,35.394221526871505,35.394221526871505,70.78844305374301,4.8806690410684626,35.394221526871505,0.0
2025,lambda_0.1,34.13025749548861,34.130257495488614,34.130257495488614,68.26051499097723,5.276096371544889,34.130257495488614,0.0
2026,lambda_0.1,15.596961700948894,15.59696170094888,15.596961700948885,31.19392340189777,5.358646829370604,15.596961700948885,0.0
2012,lambda_0.3,20.322599999999998,20.32259999999999,20.32259999999999,40.64519999999998,5.999999999999996,20.32259999999999,0.0
2013,lambda_0.3,58.495547507760705,58.49554750776071,58.49554750776071,116.99109501552142,18.591122655420005,58.49554750776071,0.0
