method,strategy,Date,hsi_state5,069500_weight,069500_daily_return,069500_contribution,069500_cum_return,114260_weight,114260_daily_return,114260_contribution,114260_cum_return,153130_weight,153130_daily_return,153130_contribution,153130_cum_return,strategy_daily_return
rank,EW,2014-03-28,risk_relief,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,-0.0007999835900801555,-0.00026666119669338517,0.9992000164099198,0.3333333333333333,0.0,0.0,1.0,-0.00026666119669338517
rank,EW,2014-03-31,risk_relief,0.3333333333333333,0.004825737265415464,0.0016085790884718212,1.0048257372654155,0.3333333333333333,0.0010264411233371629,0.0003421470411123876,1.0002256363972022,0.3333333333333333,0.00016601000486970996,5.5336668289903315e-05,1.0001660100048697,0.002006062797874112
rank,EW,2014-04-01,risk_relief,0.3333333333333333,0.0007761715339089648,0.0002587238446363216,1.00560565439922,0.3333333333333333,-0.0009228497600590746,-0.00030761658668635816,0.9993025784086481,0.3333333333333333,0.0,0.0,1.0001660100048697,-4.8892742050036576e-05
rank,EW,2014-04-02,risk_relief,0.3333333333333333,0.002908385845855621,0.0009694619486185403,1.0085303436509871,0.3333333333333333,-0.00028737401728351486,-9.579133909450495e-05,0.9990154048122091,0.3333333333333333,0.0001327859600979142,4.4261986699304735e-05,1.0002988180087655,0.00091793259622334
rank,EW,2014-04-03,risk_relief,0.3333333333333333,-0.0007733204446592756,-0.0002577734815530919,1.0077504265171826,0.3333333333333333,-0.00010266308030304483,-3.422102676768161e-05,0.9989128428134808,0.3333333333333333,0.0001991524954914059,6.638416516380197e-05,1.0004980300146091,-0.00022561034315697154
rank,EW,2014-04-04,risk_relief,0.3333333333333333,0.003579375060462464,0.0011931250201541546,1.0113575432610287,0.3333333333333333,0.0012320834531192038,0.0004106944843730679,1.0001435867982196,0.3333333333333333,5.530912268669752e-05,1.8436374228899172e-05,1.000553366682899,0.0016222558787561214
rank,EW,2014-04-07,risk_relief,0.3333333333333333,-0.002168883747831085,-0.0007229612492770283,1.0091640263222035,0.3333333333333333,-8.203781943472155e-05,-2.734593981157385e-05,1.000061537199237,0.3333333333333333,0.00016591819127054208,5.530606375684736e-05,1.0007193766877687,-0.0006950011253317548
rank,EW,2014-04-08,risk_relief,0.3333333333333333,0.005313239627107169,0.0017710798757023896,1.0145259566171096,0.3333333333333333,8.204455019078516e-05,2.7348183396928384e-05,1.0001435867982196,0.3333333333333333,4.4237511197531276e-05,1.4745837065843759e-05,1.0007636460224005,0.0018131738961651618
rank,EW,2014-04-09,risk_relief,0.3333333333333333,0.001441406813049495,0.000480468937683165,1.015988301242993,0.3333333333333333,0.001025472742934408,0.0003418242476448026,1.0011692067855018,0.3333333333333333,8.847110865350949e-05,2.9490369551169827e-05,1.0008521846916643,0.0008517835548791374
rank,EW,2014-04-10,risk_relief,0.3333333333333333,0.0026867533464471904,0.0008955844488157301,1.018718011211309,0.3333333333333333,-0.000655630224553394,-0.00021854340818446466,1.0005128099936411,0.3333333333333333,0.00015481074386558547,5.160358128852849e-05,1.0010071273628758,0.000728644621919794
rank,EW,2014-04-11,risk_relief,0.3333333333333333,-0.007942963778171164,-0.002647654592723721,1.010626370948087,0.3333333333333333,0.0012096112842381324,0.00040320376141271075,1.0017230415786342,0.3333333333333333,5.528099328899749e-05,1.8426997762999164e-05,1.0010624640311658,-0.002226023833548011
rank,EW,2014-04-14,risk_relief,0.3333333333333333,0.0032315632084116697,0.001077187736137223,1.0138922739458933,0.3333333333333333,-0.00020477116821948638,-6.825705607316213e-05,1.0015179175811777,0.3333333333333333,8.844469995139548e-05,2.9481566650465158e-05,1.0011510027004298,0.001038412246714526
rank,EW,2014-04-15,risk_relief,0.3333333333333333,-0.005913461538461506,-0.001971153846153835,1.007896660979771,0.3333333333333333,-0.0010855094726062164,-0.0003618364908687388,1.0004307603946585,0.3333333333333333,4.4218439089194206e-05,1.4739479696398067e-05,1.0011952720350619,-0.0023182508573261758
