strategy,window_start,window_end,months,cumulative_return_pct,cagr_pct,vol_pct,mdd_pct,sharpe,negative_cum_return
lambda_0.1,2012-04-30,2015-03-31,36,4.525260252739849,1.486222094738987,5.967207001600724,-5.917880430629896,0.27659472139389796,False
lambda_0.1,2012-05-31,2015-04-30,36,6.66698752149939,2.1746934332396606,6.069498863126119,-5.917880430629896,0.3844829634419318,False
lambda_0.1,2012-06-30,2015-05-31,36,9.443719004082162,3.0537059298364255,5.692251888534107,-5.917880430629863,0.556910000139497,False
lambda_0.1,2012-07-31,2015-06-30,36,7.2134798260615085,2.348888520239778,5.806726065114008,-5.917880430629885,0.4285789726758703,False
lambda_0.1,2012-08-31,2015-07-31,36,3.8340604127342637,1.2620260389761162,5.839379226920518,-5.917880430629885,0.2433895444146501,False
lambda_0.1,2012-09-30,2015-08-31,36,1.506411441023947,0.49963662187992863,5.971245655439761,-6.324998130337733,0.11262676398439543,False
lambda_0.1,2012-10-31,2015-09-30,36,-0.11948422698728756,-0.039843948956652664,5.791840549021446,-6.324998130337745,0.021416958904191197,True
lambda_0.1,2012-11-30,2015-10-31,36,4.802819683607273,1.5759725262907365,5.763234717004892,-6.324998130337733,0.29964051780377393,False
lambda_0.1,2012-12-31,2015-11-30,36,2.620810934770623,0.8660810266688967,5.778741535393098,-6.324998130337733,0.1774883549989295,False
lambda_0.1,2013-01-31,2015-12-31,36,0.18208867824729413,0.060659422986453215,5.610934181983458,-6.324998130337722,0.03820962967326697,False
lambda_0.1,2013-02-28,2016-01-31,36,0.03877685309503498,0.01292394734224711,5.621149297739275,-6.324998130337733,0.02975024187980049,False
lambda_0.1,2013-03-31,2016-02-29,36,-1.5943610035490607,-0.534303384483481,5.445667726572578,-6.324998130337745,-0.07173576417152998,True
lambda_0.1,2013-04-30,2016-03-31,36,1.0909281989015973,0.36232832921494484,5.518517289679123,-6.324998130337745,0.09252789853761662,False
lambda_0.1,2013-05-31,2016-04-30,36,2.7257120861683193,0.9004384655539432,5.428550929812161,-6.324998130337733,0.1917377567061592,False
lambda_0.1,2013-06-30,2016-05-31,36,1.3582932737423725,0.45072979876346064,5.398360644397538,-6.324998130337733,0.1097160874124425,False
lambda_0.1,2013-07-31,2016-06-30,36,6.636162352330222,2.1648501639426776,4.670639856191654,-6.324998130337745,0.4816475366328733,False
lambda_0.1,2013-08-31,2016-07-31,36,6.6630890464221215,2.1734486546444387,4.673126105292517,-6.324998130337745,0.48321939584667206,False
lambda_0.1,2013-09-30,2016-08-31,36,6.802307791062989,2.2178822545195542,4.679496075947023,-6.324998130337745,0.4919320058398365,False
lambda_0.1,2013-10-31,2016-09-30,36,4.680221187902056,1.536349163429085,4.511481439171104,-6.324998130337745,0.36008823738190704,False
lambda_0.1,2013-11-30,2016-10-31,36,2.8042267112157404,0.9261384337885037,4.455596829704832,-6.324998130337745,0.22862697441789187,False
lambda_0.1,2013-12-31,2016-11-30,36,1.8975375102507464,0.6285534316352814,4.4616489750977415,-6.324998130337745,0.16214404355036044,False
lambda_0.1,2014-01-31,2016-12-31,36,4.386247015014999,1.4412116440508882,4.5940095842130635,-6.324998130337745,0.33397092777778603,False
