variant,strategy,months,cum_return,cagr,ann_vol,mdd,sharpe,calmar,monthly_win_rate,avg_turnover_ann
train60_test12,WF_selected_lambda,108,1.0657735987388386,0.08394985449947723,0.11636722322460055,-0.1533482376291937,0.7214218245755121,0.5474458382917552,0.5925925925925926,0.718397341853249
train72_test12_colab,WF_selected_lambda,96,0.9076236013155792,0.08408063301656377,0.12173251192876458,-0.15334823762919358,0.6906998934332848,0.5482986587682633,0.5625,0.6779852023196105
train72_test24,WF_selected_lambda,96,0.8953048798309364,0.08320307719154663,0.12147450845820192,-0.1533482376291937,0.6849426949537805,0.5425760248561659,0.5625,0.6035838134540877
