signal,count_1,ratio_1,ratio_1_pct
macro_data_available,150,0.8771929824561403,87.71929824561403
gdp_data_available,144,0.8421052631578947,84.21052631578947
rate_up_flag,72,0.4210526315789473,42.105263157894726
fx_up_flag,81,0.4736842105263157,47.36842105263157
gdp_below_2_flag,72,0.4210526315789473,42.105263157894726
gdp_stable_2_3_flag,3,0.0175438596491228,1.75438596491228
rate_fx_risk_departure_flag,38,0.2222222222222222,22.22222222222222
rate_fx_relief_departure_flag,28,0.1637426900584795,16.37426900584795
policy_growth_pressure_flag,36,0.2105263157894736,21.05263157894736
regime_neutral,66,0.3859649122807017,38.59649122807017
regime_rate_fx_relief_departure,28,0.1637426900584795,16.37426900584795
regime_macro_data_unavailable,21,0.1228070175438596,12.28070175438596
regime_rate_fx_risk_departure,20,0.1169590643274853,11.695906432748531
regime_policy_growth_pressure,18,0.1052631578947368,10.52631578947368
regime_risk_departure_plus_growth_pressure,18,0.1052631578947368,10.52631578947368
