effect,sum_contribution,mean_monthly,annualized,share_of_total_pct
saa,0.7746657904003976,0.0053059300712356,0.0636711608548272,-507.7879101574588
timing,-0.9657454603624052,-0.006614694933989076,-0.0793763392078689,633.039273372342
lambda,0.04073173537420664,0.00027898448886442905,0.0033478138663731484,-26.699362536797537
cost,-0.0022090237218571097,-1.5130299464774724e-05,-0.00018156359357729667,1.4479993219144192
total_excess_vs_ew,-0.1525569583096579,-0.0010449106733538213,-0.012538928080245856,100.0
