experiment_id,strategy_name,strategy_type,months,start_return_month,end_return_month,total_return,CAGR,annual_volatility,MDD,Sharpe,Sortino,Calmar,WinRate,avg_monthly_return,best_month,worst_month,total_return_pct,CAGR_pct,annual_volatility_pct,MDD_pct,WinRate_pct
combo_00_baseline_core,EW_match_combo_00_baseline_core,EW_matched,167,2012-08,2026-06,1.4690574890127968,0.06710175675558583,0.08049261162964655,-0.13571086096576568,0.8479992792477151,1.5797434614134298,0.4944464744978139,0.6047904191616766,0.005688139720558877,0.11706299999999993,-0.06985000000000001,146.90574890127968,6.710175675558583,8.049261162964655,-13.571086096576568,60.47904191616767
combo_00_baseline_core,combo_00_baseline_core,HSI_combo,167,2012-08,2026-06,1.1450627804268767,0.056369974008771084,0.07112639776729933,-0.1379638208548286,0.8073019419565688,1.3214450846410812,0.40858519037455454,0.6167664670658682,0.0047850399201596755,0.11706299999999993,-0.06985,114.50627804268767,5.636997400877108,7.1126397767299325,-13.796382085482861,61.67664670658682
combo_01_trend_speed,EW_match_combo_01_trend_speed,EW_matched,167,2012-08,2026-06,1.4690574890127968,0.06710175675558583,0.08049261162964655,-0.13571086096576568,0.8479992792477151,1.5797434614134298,0.4944464744978139,0.6047904191616766,0.005688139720558877,0.11706299999999993,-0.06985000000000001,146.90574890127968,6.710175675558583,8.049261162964655,-13.571086096576568,60.47904191616767
combo_01_trend_speed,combo_01_trend_speed,HSI_combo,167,2012-08,2026-06,1.1849618149661105,0.05776982796717944,0.07188673915471692,-0.14034009744349085,0.8180191511365664,1.3745611382850504,0.4116416406967436,0.6047904191616766,0.004900394111776442,0.11706299999999993,-0.06985,118.49618149661106,5.776982796717944,7.188673915471693,-14.034009744349085,60.47904191616767
combo_02_risk_damage,EW_match_combo_02_risk_damage,EW_matched,167,2012-08,2026-06,1.4690574890127968,0.06710175675558583,0.08049261162964655,-0.13571086096576568,0.8479992792477151,1.5797434614134298,0.4944464744978139,0.6047904191616766,0.005688139720558877,0.11706299999999993,-0.06985000000000001,146.90574890127968,6.710175675558583,8.049261162964655,-13.571086096576568,60.47904191616767
combo_02_risk_damage,combo_02_risk_damage,HSI_combo,167,2012-08,2026-06,1.1555428681533555,0.056739992157101904,0.07170695680624083,-0.14034009744349085,0.8062436730614299,1.35631714433864,0.40430349693856205,0.6047904191616766,0.0048177733532934084,0.11706299999999993,-0.06985,115.55428681533554,5.67399921571019,7.170695680624083,-14.034009744349085,60.47904191616767
combo_03_relative_strength,EW_match_combo_03_relative_strength,EW_matched,167,2012-08,2026-06,1.4690574890127968,0.06710175675558583,0.08049261162964655,-0.13571086096576568,0.8479992792477151,1.5797434614134298,0.4944464744978139,0.6047904191616766,0.005688139720558877,0.11706299999999993,-0.06985000000000001,146.90574890127968,6.710175675558583,8.049261162964655,-13.571086096576568,60.47904191616767
combo_03_relative_strength,combo_03_relative_strength,HSI_combo,167,2012-08,2026-06,1.1474788509780836,0.05645542626338118,0.07155527041140947,-0.1456909447523047,0.804022456774948,1.3435685243164617,0.38750127099088705,0.6047904191616766,0.004794337025948099,0.11706299999999993,-0.06985,114.74788509780835,5.645542626338118,7.155527041140947,-14.569094475230472,60.47904191616767
combo_04_speed_alignment_all,EW_match_combo_04_speed_alignment_all,EW_matched,167,2012-08,2026-06,1.4690574890127968,0.06710175675558583,0.08049261162964655,-0.13571086096576568,0.8479992792477151,1.5797434614134298,0.4944464744978139,0.6047904191616766,0.005688139720558877,0.11706299999999993,-0.06985000000000001,146.90574890127968,6.710175675558583,8.049261162964655,-13.571086096576568,60.47904191616767
combo_04_speed_alignment_all,combo_04_speed_alignment_all,HSI_combo,167,2012-08,2026-06,1.1770477226157756,0.05749405968932808,0.07229256860526014,-0.14034009744349074,0.8102018614460018,1.3767326856900401,0.40967664079383015,0.6047904191616766,0.004880964471057879,0.11706299999999993,-0.06985,117.70477226157756,5.749405968932808,7.2292568605260135,-14.034009744349074,60.47904191616767
