strategy_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown,source_file,source_type,report_date,event_balance_13612w,event_intensity_13612w,event_adjustment,adjustment_label,lambda_value,combo_id,combo_name,theta_id,theta_common,report_strategy_name,report_cumulative_nav,report_drawdown,report_return,report_turnover
EW,2012-03,2012-04,insufficient_data,자료 부족,equal_weight,0.001501,0.0,0.3333333333333333,-0.005421,-0.0018069999999999,0.3333333333333333,0.006984,0.0023279999999999,0.3333333333333333,0.00294,0.00098,1.001501,1.001501,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2012-03-01,,,,,,,,,,EW (Benchmark),1.001501,0.0,0.001501,0.0
EW,2012-04,2012-05,insufficient_data,자료 부족,equal_weight,-0.0226496666666666,0.0,0.3333333333333333,-0.077546,-0.0258486666666666,0.3333333333333333,0.006467,0.0021556666666666,0.3333333333333333,0.00313,0.0010433333333333,0.9788173361836666,1.001501,-0.0226496666666666,main_final_baseline_backtest_timeseries.csv,baseline,2012-04-01,,,,,,,,,,EW (Benchmark),0.9788173361836667,-0.0226496666666666,-0.0226496666666666,0.0
EW,2012-05,2012-06,insufficient_data,자료 부족,equal_weight,0.0029933333333333,0.0,0.3333333333333333,0.003673,0.0012243333333333,0.3333333333333333,0.002782,0.0009273333333333,0.3333333333333333,0.002525,0.0008416666666666,0.9817472627433098,1.001501,-0.0197241313355555,main_final_baseline_backtest_timeseries.csv,baseline,2012-05-01,,,,,,,,,,EW (Benchmark),0.9817472627433099,-0.0197241313355555,0.0029933333333333,0.0
EW,2012-06,2012-07,insufficient_data,자료 부족,equal_weight,0.0129296666666666,0.0,0.3333333333333333,0.020355,0.006785,0.3333333333333333,0.014828,0.0049426666666666,0.3333333333333333,0.003606,0.001202,0.9944409276014932,1.001501,-0.007049491112347,main_final_baseline_backtest_timeseries.csv,baseline,2012-06-01,,,,,,,,,,EW (Benchmark),0.9944409276014932,-0.007049491112347,0.0129296666666666,0.0
EW,2012-07,2012-08,risk_relief,위험 완화 우세,equal_weight,0.0024376666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.004901,0.0016336666666666,0.3333333333333333,0.002412,0.000804,0.9968650431026764,1.001501,-0.004629008755182,main_final_baseline_backtest_timeseries.csv,baseline,2012-07-01,,,,,,,,,,EW (Benchmark),0.9968650431026763,-0.004629008755182,0.0024376666666666,0.0
EW,2012-08,2012-09,risk_relief,위험 완화 우세,equal_weight,0.0175886666666666,0.0,0.3333333333333333,0.049252,0.0164173333333333,0.3333333333333333,0.001501,0.0005003333333333,0.3333333333333333,0.002013,0.0006709999999999,1.0143985700574618,1.0143985700574618,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2012-08-01,,,,,,,,,,EW (Benchmark),1.0143985700574616,0.0,0.0175886666666666,0.0
EW,2012-09,2012-10,risk_relief,위험 완화 우세,equal_weight,-0.013575,0.0,0.3333333333333333,-0.04599,-0.01533,0.3333333333333333,0.002864,0.0009546666666666,0.3333333333333333,0.002401,0.0008003333333333,1.0006281094689318,1.0143985700574618,-0.013575,main_final_baseline_backtest_timeseries.csv,baseline,2012-09-01,,,,,,,,,,EW (Benchmark),1.0006281094689315,-0.013575,-0.013575,0.0
EW,2012-10,2012-11,neutral_watch,중립 관찰,equal_weight,0.0069603333333333,0.0,0.3333333333333333,0.018128,0.0060426666666666,0.3333333333333333,0.000553,0.0001843333333333,0.3333333333333333,0.0022,0.0007333333333333,1.007592814653539,1.0143985700574618,-0.0067091531916666,main_final_baseline_backtest_timeseries.csv,baseline,2012-10-01,,,,,,,,,,EW (Benchmark),1.0075928146535384,-0.0067091531916666,0.0069603333333333,0.0
EW,2012-11,2012-12,risk_relief,위험 완화 우세,equal_weight,0.0151103333333333,0.0,0.3333333333333333,0.041283,0.0137609999999999,0.3333333333333333,0.00188,0.0006266666666666,0.3333333333333333,0.002168,0.0007226666666666,1.0228178779472252,1.0228178779472252,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2012-11-01,,,,,,,,,,EW (Benchmark),1.022817877947225,0.0,0.0151103333333333,0.0
EW,2012-12,2013-01,risk_relief,위험 완화 우세,equal_weight,-0.0051056666666666,0.0,0.3333333333333333,-0.021421,-0.0071403333333333,0.3333333333333333,0.003805,0.0012683333333333,0.3333333333333333,0.002299,0.0007663333333333,1.0175957108017193,1.0228178779472252,-0.0051056666666666,main_final_baseline_backtest_timeseries.csv,baseline,2012-12-01,,,,,,,,,,EW (Benchmark),1.0175957108017193,-0.0051056666666666,-0.0051056666666666,0.0
EW,2013-01,2013-02,risk_relief,위험 완화 우세,equal_weight,0.0159839999999999,0.0,0.3333333333333333,0.039171,0.013057,0.3333333333333333,0.006288,0.0020959999999999,0.3333333333333333,0.002493,0.0008309999999999,1.033860960643174,1.033860960643174,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2013-01-01,,,,,,,,,,EW (Benchmark),1.033860960643174,0.0,0.0159839999999999,0.0
EW,2013-02,2013-03,risk_relief,위험 완화 우세,equal_weight,-0.0034046666666666,0.0,0.3333333333333333,-0.018478,-0.0061593333333333,0.3333333333333333,0.006076,0.0020253333333333,0.3333333333333333,0.002188,0.0007293333333333,1.030341008692504,1.033860960643174,-0.0034046666666667,main_final_baseline_backtest_timeseries.csv,baseline,2013-02-01,,,,,,,,,,EW (Benchmark),1.0303410086925042,-0.0034046666666667,-0.0034046666666666,0.0
EW,2013-03,2013-04,neutral_watch,중립 관찰,equal_weight,-0.0083766666666666,0.0,0.3333333333333333,-0.028992,-0.0096639999999999,0.3333333333333333,0.001926,0.000642,0.3333333333333333,0.001936,0.0006453333333333,1.0217101855096895,1.033860960643174,-0.0117528135755556,main_final_baseline_backtest_timeseries.csv,baseline,2013-03-01,,,,,,,,,,EW (Benchmark),1.0217101855096902,-0.0117528135755556,-0.0083766666666666,0.0
EW,2013-04,2013-05,neutral_watch,중립 관찰,equal_weight,0.0058419999999999,0.0,0.3333333333333333,0.021297,0.0070989999999999,0.3333333333333333,-0.00595,-0.0019833333333333,0.3333333333333333,0.002179,0.0007263333333333,1.0276790164134373,1.033860960643174,-0.0059794735124641,main_final_baseline_backtest_timeseries.csv,baseline,2013-04-01,,,,,,,,,,EW (Benchmark),1.0276790164134377,-0.0059794735124641,0.0058419999999999,0.0
EW,2013-05,2013-06,risk_relief,위험 완화 우세,equal_weight,-0.0253796666666666,0.0,0.3333333333333333,-0.075186,-0.025062,0.3333333333333333,-0.002782,-0.0009273333333333,0.3333333333333333,0.001829,0.0006096666666666,1.0015968655365364,1.033860960643174,-0.0312073831345423,main_final_baseline_backtest_timeseries.csv,baseline,2013-05-01,,,,,,,,,,EW (Benchmark),1.0015968655365368,-0.0312073831345423,-0.0253796666666666,0.0
EW,2013-06,2013-07,accident_zone,강한 위험 구간,equal_weight,0.0101026666666666,0.0,0.3333333333333333,0.026278,0.0087593333333333,0.3333333333333333,0.001958,0.0006526666666666,0.3333333333333333,0.002072,0.0006906666666666,1.01171566480343,1.033860960643174,-0.021419994257223,main_final_baseline_backtest_timeseries.csv,baseline,2013-06-01,,,,,,,,,,EW (Benchmark),1.0117156648034304,-0.021419994257223,0.0101026666666666,0.0
EW,2013-07,2013-08,neutral_watch,중립 관찰,equal_weight,0.0059529999999999,0.0,0.3333333333333333,0.012109,0.0040363333333333,0.3333333333333333,0.003535,0.0011783333333333,0.3333333333333333,0.002215,0.0007383333333333,1.017738408156005,1.033860960643174,-0.0155945074830361,main_final_baseline_backtest_timeseries.csv,baseline,2013-07-01,,,,,,,,,,EW (Benchmark),1.0177384081560052,-0.0155945074830361,0.0059529999999999,0.0
EW,2013-08,2013-09,neutral_watch,중립 관찰,equal_weight,0.0156363333333333,0.0,0.3333333333333333,0.03988,0.0132933333333333,0.3333333333333333,0.005015,0.0016716666666666,0.3333333333333333,0.002014,0.0006713333333333,1.0336521051520684,1.033860960643174,-0.0002020150668766,main_final_baseline_backtest_timeseries.csv,baseline,2013-08-01,,,,,,,,,,EW (Benchmark),1.0336521051520686,-0.0002020150668766,0.0156363333333333,0.0
EW,2013-09,2013-10,risk_relief,위험 완화 우세,equal_weight,0.009637,0.0,0.3333333333333333,0.02397,0.00799,0.3333333333333333,0.002686,0.0008953333333333,0.3333333333333333,0.002255,0.0007516666666666,1.0436134104894188,1.0436134104894188,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2013-09-01,,,,,,,,,,EW (Benchmark),1.043613410489419,0.0,0.009637,0.0
EW,2013-10,2013-11,risk_relief,위험 완화 우세,equal_weight,0.0023226666666666,0.0,0.3333333333333333,0.008989,0.0029963333333333,0.3333333333333333,-0.00388,-0.0012933333333333,0.3333333333333333,0.001859,0.0006196666666666,1.0460373765708488,1.0460373765708488,0.0,main_final_baseline_backtest_timeseries.csv,baseline,2013-10-01,,,,,,,,,,EW (Benchmark),1.046037376570849,0.0,0.0023226666666666,0.0
