strategy,check1_is_oos_pass,oos_cagr_pct,oos_mdd_pct,oos_calmar,full_calmar,check2_walk_forward_pass,wf_windows,wf_mdd_pct,wf_calmar,check3_rolling_3y_pass,rolling_negative_window_ratio_pct,rolling_worst_3y_mdd_pct,rolling_min_3y_cagr_pct,check4_cost_turnover_pass,cost10bp_calmar,avg_annual_oneway_turnover_pct,max_annual_oneway_turnover_pct,adoption_non_inferior,robustness_pass_count,overall_label
dynamic_v1,True,18.647515793910728,-12.62964176972936,1.476488101080188,0.770734879887107,True,9,-12.62964176972935,0.7645196058820373,True,3.6764705882352944,-12.62964176972936,-0.943404383449442,True,0.765531212819558,56.593487883551546,90.33997561682528,True,4,core_candidate
dynamic_v1_macro,True,18.23100773626132,-12.755549064032556,1.429260915758474,0.7564208496646333,True,9,-12.755549064032545,0.7539661604226903,True,3.6764705882352944,-12.75554906403259,-0.9955406400520171,True,0.7482827744915352,50.75175284730795,82.56820810700272,True,4,pass
asym_up0.1_down0.3,True,11.529764828122314,-8.97574764098037,1.2845464566629663,0.7625971980089298,True,9,-8.97574764098038,0.7887002532797369,True,0.7352941176470588,-8.975747640980403,-0.3520125798392115,True,0.7503477392888172,49.28987239518087,62.7824606178082,True,4,pass
lambda_0.3,True,16.53947985019073,-15.219711332556985,1.0867144250502692,0.5973173331757637,True,9,-15.21971133255702,0.6146150737390225,True,6.61764705882353,-15.21971133255703,-1.0993114830552764,True,0.5869994337722241,78.49541731755919,125.98412740192656,,4,pass
lambda_0.1,True,15.494124515147869,-14.744180174515332,1.0508637531389355,0.5859124373280232,True,9,-14.744180174515298,0.5731997074439248,True,2.2058823529411766,-14.744180174515352,-0.534303384483481,True,0.5820313368231024,27.991489400789224,39.85072646330924,,4,pass
asym_up0.1_down0.5,False,,,,,True,9,-7.150243006851198,0.8892259306251414,False,,,,False,0.8011144244045494,,,True,1,needs_more_evidence
asym_up0.2_down0.3,False,,,,,True,9,-12.620365053385296,0.6928740290409069,False,,,,False,0.6585526523321132,,,True,1,needs_more_evidence
