method,strategy,months,total_return,cagr,annual_volatility,sharpe,sortino,mdd,calmar,win_rate,mean_monthly_return,std_monthly_return,min_monthly_return,max_monthly_return,months_turnover,avg_turnover,max_turnover,total_turnover,total_return_diff_vs_ew,cagr_diff_vs_ew,annual_volatility_diff_vs_ew,sharpe_diff_vs_ew,sortino_diff_vs_ew,mdd_diff_vs_ew,calmar_diff_vs_ew,win_rate_diff_vs_ew,mean_monthly_return_diff_vs_ew,avg_turnover_diff_vs_ew,max_turnover_diff_vs_ew,total_turnover_diff_vs_ew,experiment,rule_description,months_x,months_y,experiment_order,total_return_diff_vs_main_v2,cagr_diff_vs_main_v2,annual_volatility_diff_vs_main_v2,sharpe_diff_vs_main_v2,mdd_diff_vs_main_v2,calmar_diff_vs_main_v2,win_rate_diff_vs_main_v2,avg_turnover_diff_vs_main_v2,total_turnover_diff_vs_main_v2
rank,EW,171.0,1.4617878790626997,0.0652613851653682,0.0799314117706843,0.8317116681289747,1.5422821560498592,-0.1357114464319853,0.4808834249517444,0.6081871345029239,0.0055399906516416,0.0230742110512557,-0.0698501779600078,0.1170629968579534,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EW,기본 동일비중,,,0,,,,,,,,,
rank,HSI_state5_overlay,171.0,1.0584449672726803,0.0519685474044322,0.0649015301422021,0.8139972987667963,1.3348615636388907,-0.1376571810520291,0.3775215140050711,0.6081871345029239,0.0044024725184653,0.0187354579492095,-0.0537594183260747,0.0898419572075724,171.0,0.0501949317738791,0.2333333333333333,8.583333333333334,-0.40334291179001935,-0.013292837760935997,-0.015029881628482206,-0.017714369362178406,-0.2074205924109684,-0.0019457346200437986,-0.1033619109466733,0.0,-0.0011375181331762,0.0501949317738791,0.2333333333333333,8.583333333333334,main_v2_conflict_defense,conflict를 소폭 방어로 처리,,,1,,,,,,,,,
rank,HSI_state5_overlay_v2b,,1.2265089140339356,0.05777840732086048,0.07362438423563628,0.8005197247234426,,-0.1351204703698362,0.4276066177294682,0.6081871345029239,0.004911480983437043,,-0.0698501779600078,0.1170629968579534,,0.037037037037037,0.2333333333333333,6.333333333333334,-0.2352789650287641,-0.0074829778445077155,-0.0063070275350480265,-0.031191943405532108,,0.0005909760621490845,-0.053276807222276235,0.0,,0.037037037037037,,6.333333333333334,main_v2b_conflict_watch,conflict를 관찰로 처리,171.0,171.0,2,0.16806394676125525,0.005809859916428281,0.00872285409343418,-0.013477574043353702,0.002536710682192883,0.05008510372439706,0.0,-0.013157894736842098,-2.25
zscore,EW,171.0,1.4617878790626997,0.0652613851653682,0.0799314117706843,0.8317116681289747,1.5422821560498592,-0.1357114464319853,0.4808834249517444,0.6081871345029239,0.0055399906516416,0.0230742110512557,-0.0698501779600078,0.1170629968579534,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EW,기본 동일비중,,,0,,,,,,,,,
zscore,HSI_state5_overlay,171.0,1.0181542305387477,0.050510277100394,0.0636375714266276,0.807059509109326,1.325012209243285,-0.1391928327621681,0.3628798703069606,0.6081871345029239,0.0042799422630403,0.0183705844968687,-0.0537594183260747,0.0898419572075724,171.0,0.0466861598440545,0.2333333333333333,7.983333333333334,-0.44363364852395204,-0.014751108064974199,-0.016293840344056704,-0.02465215901964868,-0.2172699468065742,-0.0034813863301828007,-0.11800355464478379,0.0,-0.0012600483886013,0.0466861598440545,0.2333333333333333,7.983333333333334,main_v2_conflict_defense,conflict를 소폭 방어로 처리,,,1,,,,,,,,,
zscore,HSI_state5_overlay_v2b,,1.169415580759778,0.05585188681386244,0.07148357715784671,0.7967526969488252,,-0.1385552269625142,0.403101983507075,0.6023391812865497,0.004746227740671984,,-0.0698501779600078,0.1170629968579534,,0.0413255360623781,0.2333333333333333,7.066666666666667,-0.2923722983029218,-0.009409498351505757,-0.008447834612837588,-0.034958971180149456,,-0.0028437805305289166,-0.07778144144466942,-0.005847953216374213,,0.0413255360623781,,7.066666666666667,main_v2b_conflict_watch,conflict를 관찰로 처리,171.0,171.0,2,0.15126135022103027,0.005341609713468441,0.007846005731219116,-0.010306812160500778,0.0006376057996538842,0.04022211320011437,-0.005847953216374213,-0.005360623781676399,-0.916666666666667
