strategy_name,lambda_value,months,avg_turnover_pct,max_turnover_pct,total_turnover_pct,nonzero_turnover_months
EW,,172,0.0,0.0,0.0,0
lambda_0.1,0.1,172,2.515008210776587,6.017064080993283,432.58141225357303,171
lambda_0.3,0.3,172,6.949680986908531,20.011915215340103,1195.3451297482673,171
lambda_0.5,0.5,172,11.137830846511523,34.829866624930794,1915.706905599982,171
lambda_0.7,0.7,172,15.406102775785376,48.989780742977885,2649.8496774350847,171
lambda_1.0,1.0,172,22.093023255813954,70.0,3800.0,103
