overlap_type,months,macro_data_available_months,hsi_risk_months,macro_risk_months,avg_rate_z,avg_fx_z,avg_rate_fx_departure,avg_macro_defense_addon,ratio_total_pct
both_hsi_and_macro_risk,26,26,26,26,0.661125180829752,0.8321439405093483,0.7239133525215096,0.012307692307692308,15.11627906976744
both_relief,16,16,0,0,-0.8013922482746583,-1.116116461566491,0.9666806902131647,0.0,9.30232558139535
hsi_risk_only,21,21,21,0,-0.31830204827720854,0.2441017266716644,0.6383629538062747,0.0,12.209302325581394
macro_data_unavailable,22,0,1,0,,,,0.0,12.790697674418606
macro_risk_only,48,48,0,48,0.6812955167361929,0.15286268679156284,0.7055739895425849,0.012499999999999999,27.906976744186046
no_risk_overlap,39,39,0,0,-0.14289486790436232,-0.301721657794563,0.4967018408802339,0.0,22.674418604651162
