Date,r_strategy,r_fixed_bm,excess_return,exposure_effect,timing_effect,identity_check_residual,period
2012-04-30,0.00017489999999999997,-0.0021038999999999993,0.0022787999999999992,0.0024588973345925818,-0.00018009733459258258,0.0,FULL
2012-05-31,-0.036040050000000004,-0.0526758,0.016635749999999998,0.020705517330747707,-0.00406976733074771,0.0,FULL
2012-06-30,0.0031889500000000003,0.00338,-0.00019104999999999993,-0.00026886030829339016,7.781030829339021e-05,2.710505431213761e-20,FULL
2012-07-31,0.0159082,0.0175747,-0.0016664999999999996,-0.0032900652350861073,0.0016235652350861068,8.673617379884035e-19,FULL
2012-08-31,0.0018204249999999999,0.0012214,0.0005990249999999999,0.0008212856393860896,-0.00022226063938608973,0.0,FULL
2012-09-30,0.030310846,0.0349779,-0.004667053999999998,-0.012001843486623866,0.007334789486623869,-8.673617379884035e-19,FULL
2012-10-31,-0.028036656050000008,-0.0313801,0.003343443949999995,0.012289323299420885,-0.00894587934942089,0.0,FULL
2012-11-30,0.011166225735,0.0130202,-0.0018539742649999978,-0.004171572771075695,0.0023175985060756975,-6.505213034913027e-19,FULL
2012-12-31,0.026516925766,0.0294909,-0.002973974233999998,-0.00992630010394673,0.006952325869946732,0.0,FULL
2013-01-31,-0.0126885209349,-0.014003799999999999,0.0013152790651000004,0.006132173962458078,-0.004816894897358078,4.336808689942018e-19,FULL
2013-02-28,0.027673104567194996,0.028926599999999997,-0.0012534954328050007,-0.008963755873167696,0.007710260440362696,-2.168404344971009e-19,FULL
2013-03-31,-0.010888986633636,-0.011500600000000001,0.0006116133663640001,0.005560690023106783,-0.004949076656742783,-2.168404344971009e-19,FULL
2013-04-30,-0.017299010752851306,-0.019715600000000003,0.002416589247148697,0.0078285443408523,-0.0054119550937036034,1.3010426069826053e-18,FULL
2013-05-31,0.011043455236940546,0.013935799999999998,-0.0028923447630594527,-0.005527810153807221,0.002635465390747768,0.0,FULL
2013-06-30,-0.04709739371280217,-0.0530037,0.0059063062871978315,0.019105951944195832,-0.013199645656998,0.0,FULL
2013-07-31,0.01254136430629648,0.018993399999999997,-0.0064520356937035174,-0.006137373503281654,-0.00031466219042186296,-8.673617379884035e-19,FULL
2013-08-31,0.007093534150023041,0.009404799999999998,-0.0023112658499769585,-0.0023929195923840575,8.165374240709926e-05,-4.336808689942018e-19,FULL
2013-09-30,0.020654450476187747,0.029120399999999998,-0.008465949523812253,-0.009331707817638908,0.0008657582938266559,0.0,FULL
2013-10-31,0.014042220007506195,0.0175417,-0.0034994799924938057,-0.0054606459739638515,0.0019611659814700445,1.3010426069826053e-18,FULL
2013-11-30,0.004575567417000509,0.0057022,-0.0011266325829994907,-0.0022907503492206834,0.0011641177662211925,2.168404344971009e-19,FULL
2013-12-31,-0.004728401582990057,-0.0058731999999999986,0.001144798417009942,0.0034932026005923033,-0.0023484041835823617,4.336808689942018e-19,FULL
2014-01-31,-0.026506913783728495,-0.028995599999999996,0.0024886862162715045,0.011280208620905516,-0.008791522404634012,0.0,FULL
2014-02-28,0.010565983683460676,0.013406999999999999,-0.0028410163165393243,-0.0038783500224987455,0.0010373337059594208,4.336808689942018e-19,FULL
2014-03-31,0.0011334741178206534,0.0008552000000000001,0.0002782741178206532,0.0005071360580628601,-0.0002288619402422069,0.0,FULL
2014-04-30,-0.004169403950405463,-0.0058949,0.0017254960495945366,0.002890171502423343,-0.0011646754528288064,0.0,FULL
2014-05-31,0.012805639700674418,0.014451400000000001,-0.0016457602993255795,-0.004096172189394208,0.0024504118900686277,8.673617379884035e-19,FULL
2014-06-30,0.0018444650506365904,0.0014942000000000002,0.0003502650506365905,0.0009069687803093545,-0.000556703729672764,0.0,FULL
2014-07-31,0.024761804586212813,0.028481599999999996,-0.0037197954137871856,-0.008664507945325865,0.004944712531538678,8.673617379884035e-19,FULL
2014-08-31,-0.010780578356659309,-0.0124669,0.0016863216433406906,0.005347426119704988,-0.0036611044763642975,2.168404344971009e-19,FULL
2014-09-30,-0.016475022428726702,-0.0209865,0.0045114775712732985,0.009374695782515154,-0.0048632182112418555,0.0,FULL
2014-10-31,-0.00741209415662725,-0.0158659,0.008453805843372747,0.007410247338603209,0.0010435585047695367,1.734723475976807e-18,FULL
2014-11-30,0.00521234218142606,0.0096114,-0.004399057818573939,-0.002653385163103057,-0.0017456726554708824,0.0,FULL
2014-12-31,-0.009272894173763585,-0.0166756,0.007402705826236415,0.0064703484116046504,0.0009323574146317653,-8.673617379884035e-19,FULL
2015-01-31,0.012528087837263915,0.021000299999999996,-0.008472212162736083,-0.006089478321526928,-0.002382733841209155,0.0,FULL
2015-02-28,0.0013113438977616519,0.0017144,-0.00040305610223834816,-0.00041121675793021165,8.160655691863604e-06,-1.0842021724855044e-19,FULL
2015-03-31,0.013857457252045853,0.0164077,-0.0025502427479541473,-0.003747643194427843,0.0011974004464736958,-4.336808689942018e-19,FULL
