strategy,cost_bp,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,calmar,avg_turnover_pct,annualized_avg_turnover_pct
lambda_0.1,0,171,8.638798542453795,11.351523784634693,-14.744180174515332,0.7865263175620656,0.5859124373280232,2.455393807086774,29.464725685041287
lambda_0.1,5,171,8.622901104165837,11.351476066351653,-14.766029404747638,0.7852317871352572,0.5839688427948927,2.455393807086774,29.464725685041287
lambda_0.1,10,171,8.6070057420772,11.35142881212917,-14.787873431449173,0.7839372137764171,0.5820313368231024,2.455393807086774,29.464725685041287
lambda_0.1,20,171,8.575221245538245,11.351335695889002,-14.831545878842245,0.7813479388940073,0.5781744745685019,2.455393807086774,29.464725685041287
lambda_0.3,0,171,9.090997384867894,12.10191122789447,-15.219711332556995,0.7793068521339414,0.5973173331757637,6.885562922592911,82.62675507111493
lambda_0.3,5,171,9.046257052926832,12.101752213538273,-15.277285542674058,0.7759032576931206,0.592137721564339,6.885562922592911,82.62675507111493
lambda_0.3,10,171,9.001532865830498,12.101598438256762,-15.334823762919337,0.7724992393724127,0.5869994337722241,6.885562922592911,82.62675507111493
lambda_0.3,20,171,8.912132905849601,12.101306605709883,-15.449792316126665,0.7656899486622881,0.5768448354187271,6.885562922592911,82.62675507111493
asym_up0.1_down0.3,0,171,6.844880001046882,8.126006478341347,-8.975747640980359,0.8563421794535232,0.7625971980089298,4.32367301712113,51.88407620545355
asym_up0.1_down0.3,5,171,6.817322319893249,8.12586496985751,-9.012296673558184,0.8531645659299109,0.7564467268254799,4.32367301712113,51.88407620545355
asym_up0.1_down0.3,10,171,6.789770825992458,8.125727317671402,-9.048832255332485,0.849986438345079,0.7503477392888172,4.32367301712113,51.88407620545355
asym_up0.1_down0.3,20,171,6.7346863951194935,8.125463582970804,-9.121863084542102,0.8436286589077439,0.7383016312240077,4.32367301712113,51.88407620545355
asym_up0.1_down0.5,0,171,5.7975724566782905,6.583122702179889,-7.150243006851198,0.8902559248645983,0.8108217372644804,5.246443126124718,62.95731751349662
asym_up0.1_down0.5,5,171,5.764436213768809,6.582956793911324,-7.15220646472734,0.8854965197950326,0.8059661367715514,5.246443126124718,62.95731751349662
asym_up0.1_down0.5,10,171,5.731308719638828,6.5828020582304845,-7.154169922603481,0.8807353799988434,0.8011144244045494,5.246443126124718,62.95731751349662
asym_up0.1_down0.5,20,171,5.665079969803544,6.582526107726694,-7.202151465158179,0.8712079923188971,0.7865816203962773,5.246443126124718,62.95731751349662
asym_up0.2_down0.3,0,171,8.45234104823942,10.780435389899473,-12.620365053385296,0.8068142678812006,0.6697382375616906,5.915921402611861,70.99105683134233
asym_up0.2_down0.3,5,171,8.414112044511835,10.780265812181014,-12.669515875133698,0.8035343199366006,0.6641226174258251,5.915921402611861,70.99105683134233
asym_up0.2_down0.3,10,171,8.375894907261028,10.780100498498635,-12.718641216613003,0.8002539522625469,0.6585526523321132,5.915921402611861,70.99105683134233
asym_up0.2_down0.3,20,171,8.299496219307079,10.77978266402177,-12.81681550717928,0.793691973163362,0.6475474516004506,5.915921402611861,70.99105683134233
dynamic_v1,0,171,9.734105432409557,12.488779113410489,-12.629641769729371,0.8052967886311722,0.770734879887107,4.964341042416802,59.57209250900162
dynamic_v1,5,171,9.701565145259705,12.489565247599922,-12.630065128850475,0.8028612260643702,0.7681326300605301,4.964341042416802,59.57209250900162
dynamic_v1,10,171,9.66903317070036,12.490355223057428,-12.630488487971592,0.800425723920867,0.765531212819558,4.964341042416802,59.57209250900162
dynamic_v1,20,171,9.603994152056462,12.491946694858125,-12.631335206213834,0.7955549100306493,0.7603308751818961,4.964341042416802,59.57209250900162
dynamic_v1_macro,0,171,9.648563260954424,12.311613434276873,-12.755549064032557,0.8089934851954221,0.7564208496646333,4.451908144500697,53.422897734008366
dynamic_v1_macro,5,171,9.619418711710415,12.312195840865096,-12.785972181509198,0.8067857058233306,0.7523415955512412,4.451908144500697,53.422897734008366
dynamic_v1_macro,10,171,9.5902807705029,12.312781884553692,-12.816385860304724,0.804577897645387,0.7482827744915352,4.451908144500697,53.422897734008366
dynamic_v1_macro,20,171,9.532024707078524,12.313964881151621,-12.87718491224119,0.800162202848911,0.7402258158161011,4.451908144500697,53.422897734008366
