HSIStateLabelOriginal,accident_zone,risk_warning,conflict,neutral_watch,risk_relief
강한 위험악화,393,0,0,0,0
고변동성 혼합구간,0,91,103,0,0
과열 후보,0,0,91,313,0
불안정 과열,0,0,144,56,0
안정적 회복 후보,0,0,0,0,92
위험악화,0,184,11,0,0
중립/혼조,0,0,15,150,0
회복 후보,0,0,24,0,86
