Date,market_ret,bond_ret,cash_ret,mom_3m,mom_12m,realized_vol,downside_semidev,stock_bond_corr_6m
2014-03-31,,,,,,0.015637175947900726,,
2014-04-30,-0.009459590569515841,0.0018251917476723722,0.0022905578116874104,,,0.021953487654464844,0.019396255958618405,
2014-05-31,0.01919780596503262,0.004810546355243472,0.0018216343924573053,,,0.031173457664830463,0.01847230171574383,
2014-06-30,0.0,0.006315446359450805,0.0021819864893160013,0.009556612011254462,,0.03135496992715458,0.022251050847587467,
2014-07-31,0.0382970544423622,0.006377034577698559,0.003100911580035337,0.058230079827611636,,0.024820183602388936,0.0119439955271753,
2014-08-31,-0.018974453905960753,0.0028363943593974206,0.0019293379959002266,0.01859593484215072,,0.0285344938794883,0.022506492513335183,
2014-09-30,-0.032691763373903227,0.008204284682660656,0.0024507926782568745,-0.014703762433328493,,0.022062891926582374,0.014866891649892282,0.05050488564344867
2014-10-31,-0.02526213118751519,0.007640118581007105,0.0023138294969604623,-0.0750185116623473,,0.039223962428126466,0.024378555578483757,-0.22561332089915695
2014-11-30,0.01270826036924011,0.0030605193010169174,0.0016660314694834089,-0.045145768468723424,,0.02421430395602658,0.012820239581132604,-0.2722643590219005
2014-12-31,-0.02430709945160814,0.001003937007874045,0.0012610340479193294,-0.03686905632772497,,0.03243240056464375,0.02188965289978743,-0.03056593885269452
2015-01-31,0.027748240417236225,0.006764862047943909,0.002225744810214536,0.01551008155300937,,0.03447659715906002,0.030526423031101133,-0.038118251899312526
2015-02-28,0.002414149874365723,-0.000390663150698356,0.0012566488641410078,0.005187490736623612,,0.01955566777007087,0.014939238080331268,-0.19596718369010524
2015-03-31,0.019905632556767916,0.01039570102589149,0.0026724371111712664,0.050736746164362856,0.006645968759095844,0.02869453060868129,0.01773643750774662,0.32373632154940474
2015-04-30,0.040431786419931504,-0.0031330380799504676,0.0013920062154695323,0.0637039956643839,0.057348547921053816,0.02640874474632766,0.010825844177670902,0.08790111642798268
2015-05-31,-0.022649374710514092,0.004151712096226667,0.0011961078005624515,0.03710803106261662,0.013934938253808093,0.03946006793058784,0.03259713844453955,0.0183498282607859
2015-06-30,-0.034311170086725795,-0.00025116404876446285,0.0016574823488892942,-0.018023227796250763,-0.020854355869492136,0.028989019313888982,0.019290006519006118,0.11173341972593914
2015-07-31,-0.033567257201747025,0.0024349708190005703,0.0014613285195452796,-0.0878647522000926,-0.08862458348759716,0.03803339743884385,0.0323304686330784,-0.0366608537419779
2015-08-31,-0.047123343319961375,0.002949568167797567,0.0010407501984937007,-0.11070565376048525,-0.11477497877158227,0.04423082308111288,0.02893557312863082,-0.015914811649280977
2015-09-30,0.020676791899813418,0.006285439692455652,0.0014255243893288583,-0.06006772341365263,-0.06593513777127535,0.04967624255255886,0.026458679170214786,-0.24740633414442115
2015-10-31,0.06077376912233068,-0.0006685513447433067,0.0009632674030310984,0.03168638602549123,0.016510731975784232,0.027062177208894367,0.010003955598078658,-0.14076288386002989
